rank,name,total,kapasite_40,kalite_40,isbirligi_20
1,Orta Doğu Teknik Üniversitesi,,,,
2,Koç Üniversitesi,,,,
3,Sabancı Üniversitesi,,,,
4,İstanbul Teknik Üniversitesi,,,,
5,İhsan Doğramacı Bilkent Üniversitesi,,,,
6,Boğaziçi Üniversitesi,,,,
