rank,name,sehir,article,citation,total_document,phd_score,faculty,international_collaboration,domestic_collaboration,tubitak,total
94,DİCLE ÜNİVERSİTESİ,DİYARBAKIR,109.37,99.92,108.98,104.46,45.41,46.28,47.51,32.66,594.6
95,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,BURDUR,94.91,101.54,93.19,79.56,48.82,47,37.91,90.59,593.54
96,İZMİR EKONOMİ ÜNİVERSİTESİ,İZMİR,106.1,106.47,107.62,36.18,45.87,62.12,41.42,87.18,592.96
97,AFYON KOCATEPE ÜNİVERSİTESİ,AFYONKARAHİSAR,87.39,102.62,95.35,92.44,47.22,50.96,34.29,82.59,592.85
98,UŞAK ÜNİVERSİTESİ,UŞAK,98.07,105.94,109.63,56.63,42.14,57.45,43.85,76.1,589.8
99,ORDU ÜNİVERSİTESİ,ORDU,96.4,106.22,102.75,74.16,67.59,46.93,42.97,45.92,582.94
100,IĞDIR ÜNİVERSİTESİ,IĞDIR,98.74,109.83,98.54,53.04,55.48,54.73,39.84,67.34,577.55
101,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,SAKARYA,106.79,104.2,92.41,80.4,44.01,48.54,39.05,50.28,565.68
102,YAŞAR ÜNİVERSİTESİ,İZMİR,86.55,120.47,101.69,55.72,31.45,65.71,29.09,70.5,561.18
103,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,OSMANİYE,102.41,128.24,101.13,37.12,44.96,60.04,37.5,46.79,558.18
104,ALTINBAŞ ÜNİVERSİTESİ,İSTANBUL,95.51,99.13,100.24,87.37,35.9,58.52,38.37,41.63,556.66
105,BALIKESİR ÜNİVERSİTESİ,BALIKESİR,92.47,85.38,95.54,71.51,64.55,41.69,40.27,58.7,550.12
106,ADIYAMAN ÜNİVERSİTESİ,ADIYAMAN,89.18,112.62,115.85,25.7,70.39,51.09,45.57,36.07,546.48
107,MUNZUR ÜNİVERSİTESİ,TUNCELİ,101.86,112.89,97.78,7.75,62.32,55.09,38.58,69.33,545.61
108,İSTANBUL TİCARET ÜNİVERSİTESİ,İSTANBUL,98.27,109.84,96.77,124.78,5.32,65.62,32.92,11.16,544.68
109,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,MALATYA,100.6,101.23,96.44,10.4,78.34,39.34,43.75,72.54,542.65
110,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,KIRŞEHİR,87.31,101.74,99.24,56.39,64.39,41.3,44.05,47.21,541.62
111,BATMAN ÜNİVERSİTESİ,BATMAN,109.79,104.84,88.94,56.31,61.47,50.23,32.82,25.63,530.02
112,İSTANBUL OKAN ÜNİVERSİTESİ,İSTANBUL,100.89,73.64,76.94,97.72,56.42,58.77,27.79,35.72,527.88
113,KAFKAS ÜNİVERSİTESİ,KARS,84.74,86.83,100.46,65.33,73.36,35.43,37.24,43.66,527.04
114,BAYBURT ÜNİVERSİTESİ,BAYBURT,91.08,105.21,84.17,39.9,57.3,41.68,37.38,69.17,525.89
115,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,BALIKESİR,100.98,94.53,85.68,53.87,48.25,52.5,35.09,53.78,524.68
116,GİRESUN ÜNİVERSİTESİ,GİRESUN,89.89,100.93,100.2,51.31,75.06,35.93,38.88,28.58,520.78
117,SAMSUN ÜNİVERSİTESİ,SAMSUN,100.67,103.47,81.56,19.13,62.55,43,36.85,69,516.24
118,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,ANTALYA,97.78,83.83,96.76,30.29,45.76,45.9,40.46,72.07,512.85
119,KONYA GIDA VE TARIM ÜNİVERSİTESİ,KONYA,86.23,97.73,93.39,47.57,17.61,46.79,38.78,84.47,512.57
120,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,NEVŞEHİR,81.74,99.41,82.6,84.41,42.78,45.29,32.03,41.18,509.45
121,SİNOP ÜNİVERSİTESİ,SİNOP,91.56,106.17,105.17,15.43,72.62,46.72,36.25,35.33,509.24
122,GÜMÜŞHANE ÜNİVERSİTESİ,GÜMÜŞHANE,103.26,86.26,89.27,71.86,48.06,34.42,38.29,36.38,507.79
123,İZMİR BAKIRÇAY ÜNİVERSİTESİ,İZMİR,98.6,77.16,101.66,41.21,48.58,42.57,42.78,51.58,504.13
124,ANTALYA BİLİM ÜNİVERSİTESİ,ANTALYA,104.66,103.11,94.38,2.64,27.79,57.94,34.76,77.89,503.18
125,İBN HALDUN ÜNİVERSİTESİ,İSTANBUL,49.83,85.28,79.84,116.09,66.09,51.56,12.55,40.41,501.66
126,ARTVİN ÇORUH ÜNİVERSİTESİ,ARTVİN,94.93,94.86,84.17,17.07,70.53,42.55,34.98,59.7,498.79
127,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İSTANBUL,60.99,97.51,84.21,115.96,29.34,51.8,29.48,28.3,497.58
128,TED ÜNİVERSİTESİ,ANKARA,93.73,76.84,91.17,19.44,39.95,55.12,31.53,88.23,496.02
129,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,AĞRI,91.36,108.68,84.99,26.23,54.24,53.57,36.69,37.81,493.56
130,LOKMAN HEKİM ÜNİVERSİTESİ,ANKARA,79.92,62.75,77.24,56.22,81.07,27.06,39.48,68.56,492.28
131,İSTANBUL AYDIN ÜNİVERSİTESİ,İSTANBUL,84.26,83.4,96.17,89.85,28.89,50.98,34.03,21.51,489.1
132,AMASYA ÜNİVERSİTESİ,AMASYA,95.69,85.63,89.35,32.25,81.18,33.4,38.67,30.56,486.73
133,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,KÜTAHYA,100.3,67.95,96.13,16.34,84.03,17.01,44.6,60.31,486.66
134,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,İSTANBUL,108.39,127.62,103.06,27.75,0.1,78.01,26.31,7.96,479.2
135,KAYSERİ ÜNİVERSİTESİ,KAYSERİ,83.83,93.93,70.04,50.13,52.69,30.14,33.24,64.41,478.4
136,GALATASARAY ÜNİVERSİTESİ,İSTANBUL,52.1,72.72,66.74,116.43,51.93,33.1,17.38,66.1,476.49
137,İSTANBUL BİLGİ ÜNİVERSİTESİ,İSTANBUL,80.33,96,110.79,32.29,4.7,60.49,26.51,65.05,476.16
138,İSTANBUL GELİŞİM ÜNİVERSİTESİ,İSTANBUL,80.18,130.87,95.71,42.25,21.29,66.88,32.26,6.18,475.63
139,ÜSKÜDAR ÜNİVERSİTESİ,İSTANBUL,66,90.96,74.62,79.72,37.23,50.07,30.76,42.67,472.03
140,TÜRK-ALMAN ÜNİVERSİTESİ,İSTANBUL,75.59,95.98,81.65,52.23,26.79,54.66,23.64,61.33,471.87
141,YALOVA ÜNİVERSİTESİ,YALOVA,73.97,86.16,69.76,77.67,48.44,25.55,27.84,55.15,464.53
142,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,KÜTAHYA,71.64,88.67,73.85,70.01,40.39,36.54,29.15,52.61,462.86
143,İSTANBUL AREL ÜNİVERSİTESİ,İSTANBUL,89.55,84.49,77.89,75.05,47.25,53.52,31.44,0.34,459.52
144,PİRİ REİS ÜNİVERSİTESİ,İSTANBUL,86.57,90.94,100.35,15.77,18.73,51.66,30.76,57.1,451.88
145,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,AFYONKARAHİSAR,100.3,77.66,100.83,4.35,84.98,30.87,44.11,5.2,448.3
146,İZMİR DEMOKRASİ ÜNİVERSİTESİ,İZMİR,95.51,73.53,91.77,15.36,22.13,36.93,41.71,70.65,447.6
147,KTO KARATAY ÜNİVERSİTESİ,KONYA,80.11,98.38,95.03,32.56,25.64,38.46,36.74,34.02,440.94
148,MUŞ ALPARSLAN ÜNİVERSİTESİ,MUŞ,86.54,98.85,86.42,26.84,62.66,35.88,34.42,8.34,439.94
149,MALTEPE ÜNİVERSİTESİ,İSTANBUL,49.84,59.5,67.9,86.64,79.31,28.31,30.65,29.08,431.24
150,ARDAHAN ÜNİVERSİTESİ,ARDAHAN,66.82,112.08,78.05,12.92,68.2,48.2,34.78,1.31,422.37
151,KIRKLARELİ ÜNİVERSİTESİ,KIRKLARELİ,70.97,76.95,70.88,24.71,61.65,30.25,30.61,55.08,421.1
152,BİTLİS EREN ÜNİVERSİTESİ,BİTLİS,83.06,77.84,75.3,24.68,68.16,38.88,29.8,16.82,414.54
153,DEMİROĞLU BİLİM ÜNİVERSİTESİ,İSTANBUL,61.61,71.1,91.49,0.1,90.97,50.55,41.23,0,407.06
154,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,ANKARA,45.96,39.72,46.21,154.71,40.28,15.77,18.91,42.65,404.2
155,TÜRK HAVA KURUMU ÜNİVERSİTESİ,ANKARA,69.78,107.34,81.92,11.33,14.82,43.63,33.49,36.17,398.48
156,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İSTANBUL,56.93,55.51,56.53,100.83,25.59,26.52,22.59,48.48,392.99
157,DOĞUŞ ÜNİVERSİTESİ,İSTANBUL,69.14,78.04,69.47,46.4,25.46,52.36,23.6,24.28,388.75
158,ŞIRNAK ÜNİVERSİTESİ,ŞIRNAK,52.13,57.52,77.93,20.49,74.83,21.72,21.88,50.7,377.2
159,TRABZON ÜNİVERSİTESİ,TRABZON,48.6,38.8,46.69,75.94,59.35,11.46,19.97,75.71,376.52
160,HALİÇ ÜNİVERSİTESİ,İSTANBUL,92.63,78.7,71.47,46.53,9.04,44.62,32.13,0.2,375.33
161,MEF ÜNİVERSİTESİ,İSTANBUL,66.67,68,72.15,3.83,31.52,49.31,22.29,59.38,373.15
162,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,GAZİANTEP,100.02,68.53,64.82,0,41.15,22.71,32.56,38.09,367.89
163,OSTİM TEKNİK ÜNİVERSİTESİ,ANKARA,92.2,91.33,79.83,0,14.74,61.1,19.61,4.39,363.2
164,SANKO ÜNİVERSİTESİ,GAZİANTEP,51.22,47.98,75.52,6.17,87.46,23.17,35.94,33.72,361.18
165,IŞIK ÜNİVERSİTESİ,İSTANBUL,26.08,70.56,65.21,46.58,17.94,44.51,23.03,66.32,360.25
166,İSTANBUL BEYKENT ÜNİVERSİTESİ,İSTANBUL,56.95,67.97,72.02,54.12,39.97,25.08,28.46,15.44,360.02
167,MARDİN ARTUKLU ÜNİVERSİTESİ,MARDİN,69.48,73.84,65.55,41.08,49.5,28.77,27.58,2.92,358.73
168,ANKARA MEDİPOL ÜNİVERSİTESİ,ANKARA,84.09,59.39,57.98,12.59,33.66,22.6,28.42,50.97,349.71
169,HAKKARİ ÜNİVERSİTESİ,HAKKARİ,70.85,66.26,61.48,0.56,86.14,36.07,25.69,1.76,348.8
170,UFUK ÜNİVERSİTESİ,ANKARA,41.1,54.81,86.93,17.64,70.15,18.34,41.16,14.63,344.76
171,KİLİS 7 ARALIK ÜNİVERSİTESİ,KİLİS,54.1,70.99,63.24,15.38,41.62,25.83,27.21,44.23,342.59
172,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,KAHRAMANMARAŞ,67.28,71.35,57.14,0,80.09,9.17,31.47,24,340.49
173,İSTANBUL GEDİK ÜNİVERSİTESİ,İSTANBUL,41.65,59.69,60.9,89.65,32.39,28.73,24.24,0,337.25
174,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,ANKARA,24.99,35.28,39.49,113.23,65.57,16.91,9.8,28.3,333.58
175,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,İSTANBUL,44.41,56.89,56.88,61.71,23.17,38.04,22.37,26.99,330.47
176,YÜKSEK İHTİSAS ÜNİVERSİTESİ,ANKARA,55.09,56.21,56.17,0,99,20.35,29.89,1.67,318.38
177,ÇAĞ ÜNİVERSİTESİ,MERSİN,13.44,144.9,58.2,23.12,16.56,51.34,10.6,0,318.17
178,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,İSTANBUL,18.89,33.15,44.94,123.5,61.58,17.19,8.5,7.41,315.16
179,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,İSTANBUL,53.94,51.51,67.55,19.87,33.9,20.75,33.77,17.35,298.64
180,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,İSTANBUL,53.27,33.77,40.68,38.01,80.02,19.43,20.4,11.8,297.39
181,NUH NACİ YAZGAN ÜNİVERSİTESİ,KAYSERİ,45.35,45.25,63.1,8.44,41.76,10.49,30.06,25.25,269.7
182,İSTANBUL ATLAS ÜNİVERSİTESİ,İSTANBUL,57.17,29.88,42.24,8.17,74.44,14.54,21.59,0,248.03
183,FENERBAHÇE ÜNİVERSİTESİ,İSTANBUL,56.49,32.07,58.33,3.24,31.04,19.43,30.99,11.5,243.09
184,TOROS ÜNİVERSİTESİ,MERSİN,55.29,35.9,50.6,9.69,49.9,15.82,24.14,0,241.33
185,KAPADOKYA ÜNİVERSİTESİ,NEVŞEHİR,44.96,45.27,52.49,11.08,23.66,37.97,21.73,0,237.16
186,İZMİR TINAZTEPE ÜNİVERSİTESİ,İZMİR,43.09,16.99,34.95,0,87.45,2.3,21.67,29.43,235.88
187,İSTANBUL KENT ÜNİVERSİTESİ,İSTANBUL,40.84,32.19,33.94,41.69,13.55,18.91,16.41,34.18,231.72
188,İSTANBUL RUMELİ ÜNİVERSİTESİ,İSTANBUL,28.44,33.18,35.3,10.93,41.1,7.75,19.4,3.45,179.54
189,AVRASYA ÜNİVERSİTESİ,TRABZON,25.32,25.71,27.25,22.72,51.28,4.46,15.86,5.91,178.53
190,ALANYA ÜNİVERSİTESİ,ANTALYA,30.91,13.62,14.56,0,79.43,8.47,5.79,23.92,176.69
191,İSTANBUL TOPKAPI ÜNİVERSİTESİ,İSTANBUL,41.2,31.88,30.7,26.2,9.28,20.2,11.69,0,171.16
192,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İSTANBUL,10.41542012,1.75,17.2,64.63,20.72,0.12,1.08,54.3,170.22
193,ANKARA BİLİM ÜNİVERSİTESİ,ANKARA,9.500004304,44.03,24.1,0,26.46,31.17,5.9,13.29,154.45
194,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,KOCAELİ,21.71254264,11.39,19.02,0,48.92,2.65,12.54,0,116.23
195,İSTANBUL GALATA ÜNİVERSİTESİ,İSTANBUL,23.34104384,5.14,14.76,0,57.31,4.96,9.39,0,114.92
196,İSTANBUL ESENYURT ÜNİVERSİTESİ,İSTANBUL,24.19905659,23.14,26.91,1.47,0.1,9.43,12.57,0,97.81
197,BEYKOZ ÜNİVERSİTESİ,İSTANBUL,15.87813933,11.34,20.8,0,17.03,10.21,8.22,0,83.48
198,ANTALYA BELEK ÜNİVERSİTESİ,ANTALYA,0.2,3.48,0.2,0,64.67,0.12,2.15,0,70.82
