rank,name,total,kapasite_40,kalite_40,isbirligi_20
1,Koç Üniversitesi,74.37,31.61,28.94,13.81
2,Sabancı Üniversitesi,73.94,31.85,27.25,14.84
3,Orta Doğu Teknik Üniversitesi,73.32,30.29,26.91,16.12
4,İstanbul Teknik Üniversitesi,68.99,28.96,27.53,12.51
5,Boğaziçi Üniversitesi,67.67,27.19,25.83,14.6
6,Yıldız Teknik Üniversitesi,64.76,29.08,23.69,12.0
7,İhsan Doğramacı Bilkent Üniversitesi,64.55,25.79,26.46,12.31
8,Hacettepe Üniversitesi,63.11,25.89,26.02,11.2
9,İzmir Yüksek Teknoloji Enstitüsü,63.04,29.73,19.91,13.4
10,Ankara Üniversitesi,61.02,24.37,24.8,11.85
11,İstanbul Üniversitesi,59.61,23.33,25.07,11.31
12,Ege Üniversitesi,59.28,25.19,23.02,11.08
13,Gazi Üniversitesi,59.21,25.05,23.84,10.71
14,Erciyes Üniversitesi,58.72,24.03,23.25,11.44
15,Sakarya Üniversitesi,58.26,20.89,26.36,11.0
16,Atatürk Üniversitesi,58.12,22.51,24.62,11.0
17,İstanbul Üniversitesi-Cerrahpaşa,57.32,24.56,22.38,10.38
18,Marmara Üniversitesi,55.0,24.05,20.8,10.15
19,Gebze Teknik Üniversitesi,54.69,23.24,19.52,11.93
20,Çukurova Üniversitesi,54.07,23.79,21.83,10.45
21,Fırat Üniversitesi,53.79,21.65,22.51,9.63
22,Karadeniz Teknik Üniversitesi,52.28,21.65,20.58,10.06
23,Bursa Uludağ Üniversitesi,51.25,20.79,19.61,10.85
