rank,name,sehir,article,citation,total_document,phd_score,faculty,total
104,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,Karaman,90.45,86.43,75.89,18.6,59.26,330.62
105,ALTINBAŞ ÜNİVERSİTESİ,İstanbul,80.11,70.22,72.17,59.91,42.58,324.99
106,İSTANBUL BİLGİ ÜNİVERSİTESİ,İstanbul,91.63,84.73,86.92,48.56,12.31,324.16
107,TÜRK HAVA KURUMU ÜNİVERSİTESİ,Ankara,79.91,71.55,60.14,72.31,38.72,322.64
108,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Bilecik,75.98,85.39,73.44,32.46,54.19,321.45
109,BAYBURT ÜNİVERSİTESİ,Bayburt,89.73,96.37,76.81,10.19,46.91,320.01
110,BATMAN ÜNİVERSİTESİ,Batman,75.48,95.14,75.66,17.73,46.58,310.58
111,BİTLİS EREN ÜNİVERSİTESİ,Bitlis,68.47,78.76,81.52,10.68,69.64,309.09
112,AMASYA ÜNİVERSİTESİ,Amasya,83.78,72.94,77.55,6.51,66.8,307.58
113,PİRİ REİS ÜNİVERSİTESİ,İstanbul,87.2,79.41,59.91,35.69,43.46,305.67
114,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Burdur,68.68,71.8,76.65,40.99,46.29,304.4
115,HASAN KALYONCU ÜNİVERSİTESİ,Gaziantep,75.33,57.6,60.36,73.79,36.97,304.04
116,HAKKARİ ÜNİVERSİTESİ,Hakkari,83.61,70.12,54.47,0.2,92.57,300.96
117,SİİRT ÜNİVERSİTESİ,Siirt,86.72,82.07,77.35,4.49,46.84,297.47
118,UŞAK ÜNİVERSİTESİ,Uşak,77.81,67.98,66.22,43.91,41.08,297
119,IĞDIR ÜNİVERSİTESİ,Iğdır,86.16,61.04,51.27,15.47,74.84,288.79
120,KTO KARATAY ÜNİVERSİTESİ,Çankırı,51.91,128.64,53.84,14.3,36.84,285.53
121,ANTALYA BİLİM ÜNİVERSİTESİ,Antalya,84.8,86.18,75.08,0.2,39.1,285.35
122,TED ÜNİVERSİTESİ,Ankara,92.16,66.48,67.45,0.2,53.96,280.25
123,İSTANBUL OKAN ÜNİVERSİTESİ,İstanbul,42.27,56.63,56.5,72.2,49.45,277.06
124,ARTVİN ÇORUH ÜNİVERSİTESİ,Artvin,63.55,66.39,65.32,15.59,65.64,276.49
125,İSTANBUL TİCARET ÜNİVERSİTESİ,İstanbul,39.71,46.87,74.41,91.68,23.6,276.27
126,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,Ağrı,70.17,95.81,67.69,0.91,39.12,273.7
127,İSTANBUL AYDIN ÜNİVERSİTESİ,İstanbul,46.84,62.68,58.23,62.43,35.63,265.81
128,KONYA GIDA VE TARIM ÜNİVERSİTESİ,Konya,77.05,58.29,33.51,0.2,95.88,264.92
129,KİLİS 7 ARALIK ÜNİVERSİTESİ,Kilis,58.44,86.98,69.07,0.69,45.5,260.68
130,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,İstanbul,32.2,32.04,28.95,110.15,57.16,260.49
131,MALTEPE ÜNİVERSİTESİ,İstanbul,27.88,45.46,48.98,84.53,52.84,259.68
132,ÜSKÜDAR ÜNİVERSİTESİ,İstanbul,65.19,71.93,67.55,20.99,31,256.66
133,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,İstanbul,64.74,60.27,60.55,48.81,20.13,254.51
134,İSTANBUL ŞEHİR ÜNİVERSİTESİ,İstanbul,37.74,89.5,61.15,19.13,42.3,249.81
135,MUŞ ALPARSLAN ÜNİVERSİTESİ,Muş,75.35,59.85,50.7,1.18,62.27,249.36
136,ÇAĞ ÜNİVERSİTESİ,Mersin,35.45,144.92,49.84,11.11,0.1,241.42
137,ARDAHAN ÜNİVERSİTESİ,Ardahan,62.38,35.12,42.82,36.78,61.55,238.64
138,UFUK ÜNİVERSİTESİ,Ankara,37.25,55.79,73.59,5.33,65.72,237.67
139,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İstanbul,20.88,12.13,18.45,79.08,100,230.53
140,BİRUNİ ÜNİVERSİTESİ,İstanbul,39.3,48.61,38.25,24.46,72.87,223.48
141,MEF ÜNİVERSİTESİ,İstanbul,63.83,43.57,64.59,0.2,43.96,216.15
142,KIRKLARELİ ÜNİVERSİTESİ,Kırklareli,57.59,49.67,51.09,6.55,42.4,207.29
143,İBN HALDUN ÜNİVERSİTESİ,İstanbul,18.52,6.4,4.84,89.71,87.45,206.91
144,BEYKENT ÜNİVERSİTESİ,İstanbul,43.47,45.27,45.39,44.81,25.82,204.76
145,İSTİNYE ÜNİVERSİTESİ,İstanbul,55.69,25.32,26.92,0.2,93.9,202.03
146,İSTANBUL GELİŞİM ÜNİVERSİTESİ,İstanbul,43.99,48.04,40.66,34.01,35.19,201.89
147,YÜKSEK İHTİSAS ÜNİVERSİTESİ,Ankara,37.07,48.27,28.54,0.2,87.14,201.23
148,ŞIRNAK ÜNİVERSİTESİ,Şırnak,40.27,40.51,29.83,10.94,79.58,201.12
149,SANKO ÜNİVERSİTESİ,Gaziantep,33.33,30.26,47.32,2.43,83.08,196.42
150,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,Ankara,19.09,8.1,12.84,61.66,94.45,196.15
151,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,İstanbul,27.19,39.59,43.46,17.16,60.17,187.57
152,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İstanbul,24.91,33.33,24.74,77.57,23.51,184.06
153,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İstanbul,20.69,35.33,21.05,62.74,36.49,176.3
154,TOROS ÜNİVERSİTESİ,Mersin,41.8,48.05,35.57,6,44.19,175.62
155,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,Alanya,54.95,24.93,24.74,11.24,59.66,175.52
156,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,Alanya,54.95,24.24,24.74,11.24,59.66,174.82
157,MARDİN ARTUKLU ÜNİVERSİTESİ,Mardin,29.65,29.18,28.12,26.53,59.32,172.8
158,İSTANBUL GEDİK ÜNİVERSİTESİ,İstanbul,16.14,18.29,23.45,49.82,62.08,169.78
159,HALİÇ ÜNİVERSİTESİ,İstanbul,9.5,32.68,42.48,68.43,14.51,167.6
160,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,Balıkesir,46.52,25.04,21.45,18.79,41.48,153.28
161,AVRASYA ÜNİVERSİTESİ,Trabzon,26.06,32.31,15.61,14.58,41.71,130.26
162,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İstanbul,0.8,1.12,9.25,58.65,55.25,125.06
163,TÜRK-ALMAN ÜNİVERSİTESİ,İstanbul,8.83,35.37,9.29,17.17,53.96,124.63
164,NUH NACİ YAZGAN ÜNİVERSİTESİ,Kayseri,27.92,34.55,33.32,0.2,27.69,123.68
165,NİŞANTAŞI ÜNİVERSİTESİ,İstanbul,15.16,25.43,19.69,3.28,47,110.56
166,İSTANBUL ESENYURT ÜNİVERSİTESİ,İstanbul,15.52,19.74,14.21,0.2,48.74,98.41
