rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
401–500,Cankaya University,40.9–44.0,17.0,13.6,100.0,36.0,46.0
501–600,Koç University,38.1–40.8,30.2,36.1,50.5,70.6,51.0
501–600,Sabancı University,38.1–40.8,26.3,37.1,42.8,99.1,57.5
601–800,Bilkent University,32.0–37.9,22.6,20.7,45.2,48.1,63.1
601–800,Hacettepe University,32.0–37.9,26.8,13.5,61.1,37.0,24.3
601–800,Istanbul Technical University,32.0–37.9,28.3,34.8,27.6,100.0,36.9
601–800,Middle East Technical University,32.0–37.9,32.9,32.5,32.9,99.8,41.1
801–1000,Bahçeşehir University,27.2–31.9,19.3,18.6,45.0,51.6,47.1
801–1000,Boğaziçi University,27.2–31.9,24.3,24.2,34.7,60.8,39.1
801–1000,Istanbul Medeniyet University,27.2–31.9,17.0,9.2,66.0,34.8,21.0
801–1000,Istanbul University-Cerrahpaşa,27.2–31.9,20.9,11.7,51.7,51.4,22.3
1001–1200,Atatürk University,22.4–27.1,18.2,13.5,40.2,36.2,19.1
1001–1200,Atılım University,22.4–27.1,16.5,9.3,36.8,36.1,39.9
1001–1200,Bezmiâlem Vakif University,22.4–27.1,27.2,11.1,27.6,38.4,21.9
1001–1200,Duzce University,22.4–27.1,15.8,14.4,34.6,87.6,20.7
1001–1200,Istanbul University,22.4–27.1,23.4,20.4,32.9,46.7,30.8
1001–1200,Karabük University,22.4–27.1,13.7,8.4,50.9,35.2,37.6
1001–1200,Ozyegin University,22.4–27.1,18.9,13.2,41.3,36.0,47.2
1001–1200,Yildiz Technical University,22.4–27.1,19.7,20.4,23.7,94.0,23.1
1201+,Acıbadem University,10.6–22.3,22.4,11.3,9.1,38.1,23.8
1201+,Akdeniz University,10.6–22.3,14.9,9.6,16.3,35.7,19.6
1201+,Aksaray University,10.6–22.3,12.7,8.5,22.1,35.1,23.6
1201+,Anadolu University,10.6–22.3,23.9,11.8,23.2,38.8,21.3
1201+,Ankara University,10.6–22.3,18.5,12.2,20.7,36.0,26.4
1201+,Başkent University,10.6–22.3,17.4,12.6,5.0,34.8,20.1
1201+,Bolu Abant Izzet Baysal University,10.6–22.3,14.9,8.4,17.5,35.0,21.1
1201+,Bursa Uludağ University,10.6–22.3,17.7,10.1,12.1,40.9,28.2
1201+,Cukurova University,10.6–22.3,17.8,9.7,17.8,38.5,21.4
1201+,Dicle University,10.6–22.3,26.0,22.7,6.8,99.9,16.3
1201+,Dokuz Eylül University,10.6–22.3,17.8,9.9,24.8,37.6,20.0
1201+,Kütahya Dumlupınar University,10.6–22.3,12.2,7.4,23.7,35.8,17.2
1201+,Ege University,10.6–22.3,20.5,13.1,15.7,40.3,20.6
1201+,Erciyes University,10.6–22.3,19.8,14.8,20.2,79.3,21.7
1201+,Erzincan Binali Yıldırım University,10.6–22.3,13.4,8.5,30.5,34.8,16.2
1201+,Eskişehir Osmangazi University,10.6–22.3,17.5,14.0,14.8,35.0,18.8
1201+,Gaziantep University,10.6–22.3,15.3,9.0,18.3,35.4,31.1
1201+,Gazi University,10.6–22.3,22.7,16.2,18.9,92.9,17.8
1201+,Gebze Technical University,10.6–22.3,18.9,13.4,23.7,38.5,26.5
1201+,Istanbul Medipol University,10.6–22.3,14.4,9.6,17.9,36.2,27.6
1201+,Izmir Institute of Technology,10.6–22.3,19.1,10.5,19.2,39.8,28.9
1201+,Karadeniz Technical University,10.6–22.3,15.5,8.7,22.9,34.8,18.5
1201+,Kocaeli University,10.6–22.3,13.8,7.6,8.8,37.7,20.2
1201+,Marmara University,10.6–22.3,17.2,9.6,22.3,36.6,25.0
1201+,Necmettin Erbakan University,10.6–22.3,25.0,15.3,17.7,35.0,18.7
1201+,Ondokuz Mayis University,10.6–22.3,14.8,8.7,11.4,37.0,27.3
1201+,Recep Tayyip Erdoğan University,10.6–22.3,15.7,8.9,10.0,34.9,18.4
1201+,Sakarya University,10.6–22.3,16.0,9.8,30.4,40.7,22.2
1201+,Selçuk University,10.6–22.3,16.0,9.0,28.8,34.9,24.1
1201+,Sivas Cumhuriyet University,10.6–22.3,15.9,8.7,14.1,34.9,17.8
1201+,Süleyman Demirel University,10.6–22.3,16.8,9.2,17.1,35.3,21.6
1201+,TOBB University of Economics and Technology,10.6–22.3,19.0,11.9,19.2,38.3,26.4
1201+,Tokat Gaziosmanpaşa University,10.6–22.3,16.5,8.0,23.7,34.9,20.5
1201+,Yeditepe University,10.6–22.3,19.2,13.7,10.4,74.3,23.6
1201+,Zonguldak Bülent Ecevit University,10.6–22.3,14.2,7.9,20.4,37.0,20.5
Reporter,Abdullah Gül University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Altınbaş University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Istanbul Aydın University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Istanbul Bilgi University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Kadir Has University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Kastamonu University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Konya Technical University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Kütahya Health Sciences University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,"University of Health Sciences, Turkey",n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Uşak University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Üsküdar University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Yaşar University,n/a,n/a,n/a,n/a,n/a,n/a
