rank,name,sehir,article,citation,total_document,phd_score,faculty,total
123,IŞIK ÜNİVERSİTESİ,İstanbul,53.22,83.1,90.74,48.07,22.42,297.56
124,AMASYA ÜNİVERSİTESİ,Amasya,65.98,66.62,77.92,12.38,68.6,291.51
125,ARDAHAN ÜNİVERSİTESİ,Ardahan,80.16,53.93,56.13,36.25,64.99,291.46
126,MUŞ ALPARSLAN ÜNİVERSİTESİ,Muş,87.79,68.86,62.62,6.48,62.95,288.7
127,KİLİS 7 ARALIK ÜNİVERSİTESİ,Kilis,69.52,92.18,74.94,3.99,44.89,285.53
128,PİRİ REİS ÜNİVERSİTESİ,İstanbul,75.98,73.92,66.47,27.55,39.8,283.72
129,İSTANBUL TİCARET ÜNİVERSİTESİ,İstanbul,27.75,50.78,73.73,111.41,19.95,283.61
130,ÇAĞ ÜNİVERSİTESİ,Mersin,49.84,150.05,55.47,27.93,0.1,283.4
131,TED ÜNİVERSİTESİ,Ankara,86.64,70.57,76.4,0.2,48.6,282.41
132,MALTEPE ÜNİVERSİTESİ,İstanbul,31.26,46.42,53.78,90.21,56.52,278.2
133,İSTANBUL AYDIN ÜNİVERSİTESİ,İstanbul,50.38,64.97,62.95,60.63,38.35,277.28
134,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,İstanbul,23.27,34.2,34.36,124.74,58.42,275
135,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İstanbul,31.66,20.82,31.66,77.84,99,260.97
136,İBN HALDUN ÜNİVERSİTESİ,İstanbul,41.88,22.95,21.69,91.55,82.37,260.44
137,HAKKARİ ÜNİVERSİTESİ,Hakkari,52.03,64.49,51.48,0.2,90.22,258.42
138,BİRUNİ ÜNİVERSİTESİ,İstanbul,55.83,58.02,53.81,23.07,62.81,253.52
139,MEF ÜNİVERSİTESİ,İstanbul,73.55,56.12,81.32,0.2,39.84,251.03
140,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,İstanbul,51.75,60.19,65.93,54.39,16.56,248.82
141,BEYKENT ÜNİVERSİTESİ,İstanbul,44.59,47.16,50.4,77.52,27.89,247.56
142,UFUK ÜNİVERSİTESİ,Ankara,40.52,56.51,76.91,4.64,68.98,247.56
143,KTO KARATAY ÜNİVERSİTESİ,Konya,27.75,103.37,60.4,18.08,32.67,242.26
144,İSTANBUL GELİŞİM ÜNİVERSİTESİ,İstanbul,59.84,56.65,48.51,37.72,39.44,242.16
145,YÜKSEK İHTİSAS ÜNİVERSİTESİ,Ankara,22.58,90.63,26.18,0.2,100,239.6
146,İSTİNYE ÜNİVERSİTESİ,İstanbul,66.22,40.85,50.59,1.02,79.02,237.7
147,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İstanbul,48.65,40.99,38.09,87.08,19.58,234.4
148,SANKO ÜNİVERSİTESİ,Gaziantep,39.72,40.73,61.94,2.2,82.21,226.81
149,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,Ankara,19.2,17.1,25.33,81.09,83.1,225.82
150,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İstanbul,40.69,39.86,30.99,72.22,36.21,219.98
151,TÜRK-ALMAN ÜNİVERSİTESİ,İstanbul,64.67,38.45,41.86,20.29,53.13,218.41
152,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,İstanbul,30.46,45.19,52.04,21.58,65.82,215.1
153,İSTANBUL GEDİK ÜNİVERSİTESİ,İstanbul,41.12,21.9,35.25,60.98,53.7,212.96
154,KIRKLARELİ ÜNİVERSİTESİ,Kırklareli,51,54.18,55.1,9.1,40.97,210.35
155,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,Antalya,63.14,34.11,41.36,15.67,54.99,209.27
156,ŞIRNAK ÜNİVERSİTESİ,Şırnak,25.16,39.56,34.76,23.64,76.54,199.66
157,HALİÇ ÜNİVERSİTESİ,İstanbul,24.66,33.38,47.02,56.08,16.21,177.34
158,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,Balıkesir,40.52,33.41,31.64,25.85,43.7,175.12
159,MARDİN ARTUKLU ÜNİVERSİTESİ,Mardin,26.45,35.75,37.21,21.89,48.73,170.03
160,NUH NACİ YAZGAN ÜNİVERSİTESİ,Kayseri,44.84,30.45,38.76,0.2,41.97,156.23
161,TOROS ÜNİVERSİTESİ,Mersin,16.65,40.48,36.46,7.16,49.6,150.35
162,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İstanbul,0.2,0.62,7.94,64.23,65.37,138.36
163,AVRASYA ÜNİVERSİTESİ,Trabzon,18.5,29.53,22.99,18.5,41.55,131.05
164,NİŞANTAŞI ÜNİVERSİTESİ,İstanbul,8.01,30.79,26.6,2.34,43.6,111.33
165,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,Alanya,10.38,13.18,7.55,0.2,74.62,105.94
166,İSTANBUL ESENYURT ÜNİVERSİTESİ,İstanbul,8.51,23.03,19.51,0.2,47.29,98.53
