rank,name,sehir,article,citation,total_document,phd_score,faculty,total
1,HACETTEPE ÜNİVERSİTESİ,Ankara,169.18,185.93,188.9,191.08,58.09,793.17
2,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Ankara,186.92,172.88,189.32,182.27,38.31,769.7
3,İSTANBUL TEKNİK ÜNİVERSİTESİ,İstanbul,177.12,166.32,187.49,179.1,43.12,753.15
4,İSTANBUL ÜNİVERSİTESİ,İstanbul,149.25,170.66,187.24,194.58,47.22,748.96
5,KOÇ ÜNİVERSİTESİ,İstanbul,182.01,176.09,177.14,133.02,67.79,736.05
6,GAZİ ÜNİVERSİTESİ,Ankara,148.14,147,168.33,192.77,58.52,714.75
7,ANKARA ÜNİVERSİTESİ,Ankara,152.72,148.71,163.16,200,47.11,711.7
8,GEBZE TEKNİK ÜNİVERSİTESİ,Kocaeli,166.68,144.89,163.54,140.55,57.67,673.34
9,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,Ankara,164.26,186.64,174.9,102.26,43.93,672
10,EGE ÜNİVERSİTESİ,İzmir,140.23,145.62,161.46,164.93,59.05,671.29
11,BOĞAZİÇİ ÜNİVERSİTESİ,İstanbul,155.58,163.34,172.26,133.55,45.98,670.72
12,SABANCI ÜNİVERSİTESİ,İstanbul,165.21,170.4,164.69,109.41,57.34,667.05
13,YILDIZ TEKNİK ÜNİVERSİTESİ,İstanbul,151.85,144.09,158.35,157.43,40.96,652.68
14,ATATÜRK ÜNİVERSİTESİ,Erzurum,134.67,140.46,138.42,163.37,58.58,635.52
15,MARMARA ÜNİVERSİTESİ,İstanbul,131.47,135.67,144.09,172.8,46.09,630.12
16,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,İstanbul,140.71,135.41,144.48,141.44,63.36,625.4
17,DOKUZ EYLÜL ÜNİVERSİTESİ,İzmir,138.1,141.9,146.34,141.69,52.26,620.29
18,ERCİYES ÜNİVERSİTESİ,Kayseri,135.84,144.33,149.67,143.87,44.67,618.38
19,SELÇUK ÜNİVERSİTESİ,Konya,134.11,135.53,146.87,146.21,51.17,613.9
20,KARADENİZ TEKNİK ÜNİVERSİTESİ,Trabzon,132.2,141.28,144.65,130.03,56.99,605.16
21,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,İstanbul,140.23,136.24,164.74,75.87,86.31,603.38
22,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,İzmir,144.41,137.06,148.5,118.5,54.23,602.7
23,ÇUKUROVA ÜNİVERSİTESİ,Adana,134.12,130.58,144.47,137.82,46.14,593.12
24,FIRAT ÜNİVERSİTESİ,Elazığ,132.82,136.27,139.94,112.29,55.31,576.62
25,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,Eskişehir,124.47,131.77,140.22,117.16,56.54,570.17
26,SAKARYA ÜNİVERSİTESİ,Sakarya,115.46,125.01,134.01,141.32,43.34,559.14
27,AKDENİZ ÜNİVERSİTESİ,Antalya,117.22,127.86,137.05,122.36,53.21,557.71
28,ANADOLU ÜNİVERSİTESİ,Eskişehir,89.34,127.46,126.69,162.61,49.37,555.47
29,BURSA ULUDAĞ ÜNİVERSİTESİ,Bursa,126.07,127.27,134.33,125.93,41.42,555.03
30,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,Isparta,114.65,126.46,132.18,131.59,49.04,553.93
31,ONDOKUZ MAYIS ÜNİVERSİTESİ,Samsun,118.62,122.45,134.45,127.39,49.42,552.33
32,ÇANKAYA ÜNİVERSİTESİ,Ankara,159.77,171.73,144.65,39.35,34.39,549.89
33,İNÖNÜ ÜNİVERSİTESİ,Malatya,116.66,117.2,130.09,135.29,49.59,548.83
34,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,Ankara,110.29,99.7,120.59,134.14,58.41,523.12
35,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,Van,111.63,117.69,119.96,104.7,68.51,522.49
36,ABDULLAH GÜL ÜNİVERSİTESİ,Kayseri,112.31,147.25,131.23,69.27,61.57,521.63
37,GAZİANTEP ÜNİVERSİTESİ,Gaziantep,112.42,123.68,132.3,103.76,44.11,516.27
38,KOCAELİ ÜNİVERSİTESİ,Kocaeli,115.12,118.8,129.19,111.04,41.32,515.47
39,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İzmir,119.13,115.28,140.81,77.41,62.41,515.04
40,İSTANBUL MEDENİYET ÜNİVERSİTESİ,İstanbul,121.93,124.4,127.28,68.59,62.88,505.09
41,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İstanbul,109.22,108.65,124.05,64.69,96.76,503.37
42,BAŞKENT ÜNİVERSİTESİ,Ankara,94.75,102.73,136.59,86.29,75.92,496.28
43,PAMUKKALE ÜNİVERSİTESİ,Denizli,98.88,122.14,120.84,100.55,49.97,492.38
44,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,Manisa,108.74,121.51,119.77,93.87,46.51,490.39
45,MERSİN ÜNİVERSİTESİ,Mersin,105.56,110.27,114.97,101.74,49.54,482.06
46,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,Ankara,112.62,110.72,133.84,70.37,52.43,479.99
47,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bolu,112.23,113.28,115.28,84.17,54.95,479.9
48,DİCLE ÜNİVERSİTESİ,Şanlıurfa,83.65,115.06,121.01,104.21,53.81,477.74
49,YEDİTEPE ÜNİVERSİTESİ,İstanbul,97.17,108.65,114.16,115.3,33.58,468.85
50,NECMETTİN ERBAKAN ÜNİVERSİTESİ,Konya,97.64,99.53,110.66,107.98,52.01,467.82
51,ATILIM ÜNİVERSİTESİ,Ankara,120.91,116.09,120.02,71.89,38.38,467.29
52,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,Ankara,95.47,109.39,107.97,95.96,57.34,466.12
53,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,Muğla,93.84,104.83,116.31,96.75,49.97,461.71
54,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,Tokat,94.48,115.57,111.67,85.99,53.04,460.76
55,DÜZCE ÜNİVERSİTESİ,Düzce,110.51,113.23,114.6,71.85,50.56,460.74
56,KIRIKKALE ÜNİVERSİTESİ,Kırıkkale,103.31,108.87,113.2,89.42,44.12,458.91
57,HİTİT ÜNİVERSİTESİ,Çorum,103.76,110.41,112.21,65.67,66.23,458.29
58,SİVAS CUMHURİYET ÜNİVERSİTESİ,Sivas,103.44,114.1,114.16,72.03,50.22,453.95
59,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,Rize,107.09,112.43,115.64,54.1,62.7,451.96
60,ÖZYEĞİN ÜNİVERSİTESİ,İstanbul,108.7,115.04,119.08,67.98,38.28,449.07
61,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,Aydın,94.16,97.23,108.91,97.66,49.81,447.77
62,HARRAN ÜNİVERSİTESİ,Şanlıurfa,105.8,99.29,110.05,77.26,53.85,446.25
63,KARABÜK ÜNİVERSİTESİ,Karabük,103.97,111.79,95.13,100.29,32.98,444.17
64,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,Kahramanmaraş,89.31,94.25,99.85,103.25,56.81,443.47
65,AFYON KOCATEPE ÜNİVERSİTESİ,Afyon,98.36,109.73,116.55,74.5,39.49,438.64
66,İSTANBUL MEDİPOL ÜNİVERSİTESİ,İstanbul,103.01,99.68,116.81,72.85,46.12,438.48
67,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,Niğde,94.96,108.55,103.1,80.59,50,437.2
68,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Zonguldak,97.99,110.27,113.77,67.15,47.75,436.94
69,BİNGÖL ÜNİVERSİTESİ,Bingöl,104.21,107.44,101.01,59.89,58.59,431.14
70,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Adana,106.76,101.11,94.35,51.63,72.11,425.97
71,BURSA TEKNİK ÜNİVERSİTESİ,Bursa,114.21,110.14,98.76,54.92,47.64,425.68
72,BALIKESİR ÜNİVERSİTESİ,Balıkesir,84.9,104.23,103.44,73.18,50.42,416.17
73,KASTAMONU ÜNİVERSİTESİ,Kastamonu,94.42,98.35,85.25,99.13,38.62,415.77
74,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,Hatay,77.97,100.91,109.38,70.98,55.68,414.91
75,GALATASARAY ÜNİVERSİTESİ,İstanbul,56.08,97.29,83.27,116.05,62.13,414.81
76,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,Tekirdağ,77.15,110.03,105.94,63.94,57.1,414.16
77,TRAKYA ÜNİVERSİTESİ,Trakya,77.32,88.05,107.45,94.19,46.79,413.79
78,YOZGAT BOZOK ÜNİVERSİTESİ,Yozgat,118.67,115.53,109.25,12.28,57.69,413.42
79,ERZURUM TEKNİK ÜNİVERSİTESİ,Erzurum,96.33,105.3,93.85,58.92,56.93,411.33
80,BAHÇEŞEHİR ÜNİVERSİTESİ,İstanbul,104.61,103.7,107.35,68.99,26.35,410.99
81,ADIYAMAN ÜNİVERSİTESİ,Adıyaman,103.12,104.66,110.83,29.95,61.72,410.28
82,AKSARAY ÜNİVERSİTESİ,Aksaray,98.02,111.49,96.18,49.06,54.42,409.17
83,ORDU ÜNİVERSİTESİ,Ordu,100.45,91.87,107.37,52.61,56.37,408.66
84,MUNZUR ÜNİVERSİTESİ,Tunceli,106.54,115.89,97.11,12.36,74.38,406.28
85,İSTANBUL AREL ÜNİVERSİTESİ,İstanbul,96.4,95.42,87.61,84.09,42.33,405.86
86,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,Kütahya,76.14,113.82,106.79,73.03,35.37,405.16
87,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,Çankırı,96.19,107.56,96.4,39.48,57.04,396.67
88,İSKENDERUN TEKNİK ÜNİVERSİTESİ,İskenderun,98.31,105.62,91.16,51.08,44.58,390.75
89,YALOVA ÜNİVERSİTESİ,Yalova,83.04,97.77,74.18,79.33,56.36,390.68
90,SİNOP ÜNİVERSİTESİ,Sinop,96.49,118.64,100.32,15.16,59.19,389.8
91,BARTIN ÜNİVERSİTESİ,Bartın,113.08,101.58,94.3,33.15,45.44,387.55
92,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,Erzincan,94.9,94.68,94.78,43.62,59.34,387.31
93,KADİR HAS ÜNİVERSİTESİ,İstanbul,88.4,83.44,100.72,69.98,39.86,382.4
94,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,Karaman,109.34,102.11,86.25,25.91,57.62,381.24
95,GİRESUN ÜNİVERSİTESİ,Giresun,102.16,95.32,93.25,28.53,60.51,379.77
96,YAŞAR ÜNİVERSİTESİ,İzmir,83.86,96.83,91.11,76.07,31.17,379.04
97,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,Kırşehir,101.56,89.8,96.26,23.82,66.12,377.57
98,İZMİR EKONOMİ ÜNİVERSİTESİ,İzmir,89.93,100.59,106.79,29.1,39.59,366
99,KAFKAS ÜNİVERSİTESİ,Kars,70.22,83.06,97.96,50.97,58.29,360.5
100,DEMİROĞLU BİLİM ÜNİVERSİTESİ,İstanbul,53.44,97.43,111.28,9.78,86.05,357.97
101,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,Nevşehir,72.78,88.62,81.66,70.35,40.79,354.2
102,DOĞUŞ ÜNİVERSİTESİ,İstanbul,79.86,101.89,87.27,45.67,34.68,349.38
103,GÜMÜŞHANE ÜNİVERSİTESİ,Gümüşhane,79.15,95.25,86.72,34.24,48.26,343.62
104,ALTINBAŞ ÜNİVERSİTESİ,İstanbul,71.25,76.71,80.69,70,43.95,342.59
105,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Bilecik,80.83,82.29,80.93,46.82,49.87,340.74
106,BAYBURT ÜNİVERSİTESİ,Bayburt,91.01,102.5,87.85,13.41,45.64,340.41
107,İSTANBUL BİLGİ ÜNİVERSİTESİ,İstanbul,98.97,91.5,97.65,35.69,12.21,336.02
108,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,Osmaniye,79.26,86.34,79.88,39.54,50.88,335.9
109,SİİRT ÜNİVERSİTESİ,Siirt,88.44,90.48,91.42,18.03,44.46,332.83
110,BİTLİS EREN ÜNİVERSİTESİ,Bitlis,79.9,84.36,93.03,8.48,61.15,326.92
111,UŞAK ÜNİVERSİTESİ,Uşak,89.08,77.03,78.74,41.12,40.85,326.83
112,HASAN KALYONCU ÜNİVERSİTESİ,Gaziantep,66.3,66.84,71.83,84.96,35.84,325.77
113,IĞDIR ÜNİVERSİTESİ,Iğdır,86.49,78.16,63.26,30.58,66.19,324.68
114,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Burdur,54.51,79.44,77.14,58.97,45.04,315.1
115,ÜSKÜDAR ÜNİVERSİTESİ,İstanbul,80.64,97.52,76.73,32.73,27.07,314.7
116,İSTANBUL OKAN ÜNİVERSİTESİ,İstanbul,54.58,57.5,62.19,90.24,49.55,314.06
117,KONYA GIDA VE TARIM ÜNİVERSİTESİ,Konya,81.98,84.65,55.09,3.74,84.98,310.45
118,TÜRK HAVA KURUMU ÜNİVERSİTESİ,Ankara,74.49,68.9,63.32,53.53,46.42,306.66
119,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,Ağrı,86.81,97.42,75.07,2.42,43,304.72
120,ANTALYA BİLİM ÜNİVERSİTESİ,Antalya,93.65,87.9,76.12,0.2,45.18,303.05
121,BATMAN ÜNİVERSİTESİ,Batman,66.83,90.3,71.97,16.27,56.05,301.41
122,ARTVİN ÇORUH ÜNİVERSİTESİ,Artvin,77.36,68.5,74.4,13.21,65.68,299.14
