rank,name,sehir,article,citation,total_document,phd_score,faculty,international_collaboration,domestic_collaboration,tubitak,total
1,KOÇ ÜNİVERSİTESİ,İstanbul,193.87,187.11,185.24,126.73,62.65,115.15,70.1,185.57,1126.41
2,HACETTEPE ÜNİVERSİTESİ,Ankara,169.29,168.08,176.44,178.02,55.85,96.74,70.25,158.14,1072.82
3,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Ankara,162.84,169.99,174.33,169.11,25.81,101.63,62.6,194.33,1060.65
4,ANKARA ÜNİVERSİTESİ,Ankara,157.43,154.61,160.85,199,48.79,93.4,65.66,152.76,1032.49
5,İSTANBUL TEKNİK ÜNİVERSİTESİ,İstanbul,169.53,163.75,169.06,169.1,38.01,97.49,61.03,164.04,1032
6,İSTANBUL ÜNİVERSİTESİ,İstanbul,155.31,158.73,164.33,197.28,48.04,93.9,67,144.62,1029.22
7,SABANCI ÜNİVERSİTESİ,İstanbul,169.69,180.2,167.48,103.58,53.27,108.34,45.95,168.34,996.84
8,GAZİ ÜNİVERSİTESİ,Ankara,156.42,149.86,157.13,187.66,67.38,83.81,68.75,110.8,981.81
9,EGE ÜNİVERSİTESİ,İzmir,151.02,149.48,153.9,155.8,60.08,87.95,60.45,160.17,978.84
10,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,İstanbul,158.54,152,155.35,160.57,71.99,85.84,67.04,103.11,954.44
10,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,Ankara,146.95,169.26,159.99,96.69,38.51,100.08,47.34,163.56,922.39
11,GEBZE TEKNİK ÜNİVERSİTESİ,Kocaeli,149.75,151.07,144.76,122.95,45.84,82.88,58,162.57,917.82
12,MARMARA ÜNİVERSİTESİ,İstanbul,145.89,143.21,146.27,171.36,45.45,84.69,57.52,120,914.39
13,YILDIZ TEKNİK ÜNİVERSİTESİ,İstanbul,155.17,151.77,153.15,157.13,26.2,81.67,61.22,123.66,909.98
14,ERCİYES ÜNİVERSİTESİ,Kayseri,152.8,146.49,148.1,145.56,44.25,81.34,62.15,129.12,909.8
15,ATATÜRK ÜNİVERSİTESİ,Erzurum,147.05,147.75,142.13,149.78,42.77,79.46,59.61,116.13,884.68
16,BOĞAZİÇİ ÜNİVERSİTESİ,İstanbul,130.64,148.34,157.41,118.26,42.12,93.23,44.38,144.53,878.9
17,DOKUZ EYLÜL ÜNİVERSİTESİ,İzmir,140.23,141.66,144.61,138.26,47.95,81.35,58.29,120.74,873.09
18,FIRAT ÜNİVERSİTESİ,Elazığ,143.43,151.89,142.03,116,61.7,83.93,55.91,115.24,870.13
19,ÇUKUROVA ÜNİVERSİTESİ,Adana,142.47,138.39,149.81,141.93,47.92,79.58,59.65,104.88,864.64
20,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,İzmir,134.95,133.04,145.88,104.75,46.54,75.65,46.24,175.42,862.47
21,KARADENİZ TEKNİK ÜNİVERSİTESİ,Trabzon,135.02,137.76,139.11,123.28,58.79,73.83,56.93,134.32,859.04
22,SELÇUK ÜNİVERSİTESİ,Konya,141.9,143.38,142.54,136.05,49.86,81.3,58.76,100,853.78
23,Bu Üniversite 10. Sıraya Yükselmiştir.,-,-,-,-,-,-,-,-,-,-
24,AKDENİZ ÜNİVERSİTESİ,Antalya,138,138.5,141.11,122.34,47.04,76.55,56.03,129.05,848.62
25,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İstanbul,134.73,131.89,144.7,80.96,93.98,78.26,68.41,109.1,842.03
26,ONDOKUZ MAYIS ÜNİVERSİTESİ,Samsun,136.79,133.17,136.08,125.18,48.2,76.65,55.14,113.54,824.76
27,BURSA ULUDAĞ ÜNİVERSİTESİ,Bursa,127.62,131.7,131.24,145.92,44.42,76.35,49.91,113.04,820.19
27,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,İstanbul,128.43,141.89,156.62,69,94.28,69.81,68.8,82.01,810.85
28,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İstanbul,151.47,127.64,156.98,102.72,100,62.4,68.44,34.19,803.83
29,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,Eskişehir,132.65,128.78,132.42,110.69,60.95,71.08,54.16,106.5,797.22
