rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
351–400,Koç University,49.4–51.0,32.0,41.3,70.1,89.6,58.4
351–400,Middle East Technical University,49.4–51.0,44.2,44.1,53.4,88.0,58.3
351–400,Sabancı University,49.4–51.0,31.0,38.4,72.6,97.2,67.2
501–600,Istanbul Technical University,43.3–45.9,36.0,40.1,50.2,91.5,43.6
601–800,Bilkent University,38.2–43.2,29.0,26.8,50.1,92.5,66.8
601–800,Boğaziçi University,38.2–43.2,28.0,29.7,62.0,84.3,52.9
801–1000,Bahçeşehir University,34.5–38.1,18.3,23.2,59.1,35.0,62.1
801–1000,Cankaya University,34.5–38.1,13.7,15.4,82.9,19.5,52.3
801–1000,Hacettepe University,34.5–38.1,30.7,29.3,50.2,65.6,26.8
801–1000,Kadir Has University,34.5–38.1,18.1,32.3,60.2,22.4,52.8
801–1000,Ozyegin University,34.5–38.1,19.2,24.6,49.9,68.4,59.2
801–1000,Yildiz Technical University,34.5–38.1,28.0,28.2,47.4,67.5,39.8
1001–1200,Anadolu University,30.7–34.4,26.1,11.0,60.0,20.6,33.1
1001–1200,Atatürk University,30.7–34.4,24.8,25.8,47.9,27.2,32.9
1001–1200,Bartin University,30.7–34.4,12.0,15.1,75.0,17.0,36.2
1001–1200,Inönü University,30.7–34.4,24.1,10.5,63.6,19.1,22.4
1001–1200,Istanbul Gelisim University,30.7–34.4,10.7,9.4,74.2,15.9,61.2
1001–1200,Istanbul University-Cerrahpaşa,30.7–34.4,27.0,21.5,40.6,58.5,26.2
1001–1200,İstinye University,30.7–34.4,13.2,16.4,54.6,16.3,67.6
1001–1200,Selçuk University,30.7–34.4,25.8,24.3,37.9,67.5,32.4
1001–1200,Yaşar University,30.7–34.4,21.6,12.0,57.4,18.9,43.0
1201–1500,Akdeniz University,25.2–30.6,23.3,25.3,38.8,59.4,25.4
1201–1500,Duzce University,25.2–30.6,15.9,16.8,46.7,55.5,30.8
1201–1500,Ege University,25.2–30.6,31.3,15.1,33.1,58.1,26.3
1201–1500,Erciyes University,25.2–30.6,21.8,14.3,42.7,48.3,31.0
1201–1500,Firat University,25.2–30.6,18.2,9.9,59.2,23.2,31.5
1201–1500,Gazi University,25.2–30.6,26.0,16.4,32.4,65.4,22.4
1201–1500,Gebze Technical University,25.2–30.6,19.2,20.1,42.6,42.1,33.7
1201–1500,Istanbul Medeniyet University,25.2–30.6,18.7,10.6,51.9,18.5,27.4
1201–1500,Istanbul University,25.2–30.6,24.8,20.6,30.1,46.4,40.7
1201–1500,Necmettin Erbakan University,25.2–30.6,37.3,15.0,37.6,24.1,40.1
1201–1500,TOBB University of Economics and Technology,25.2–30.6,18.6,13.1,42.4,51.7,41.2
1201–1500,"University of Health Sciences, Turkey",25.2–30.6,46.1,6.1,25.6,16.9,30.8
1501+,Acıbadem University,10.5–25.1,27.1,12.8,24.2,21.8,34.5
1501+,Adana Alparslan Türkeş Science and Technology University,10.5–25.1,17.1,8.7,28.1,16.5,19.9
1501+,Afyon Kocatepe University,10.5–25.1,13.6,9.8,23.5,21.0,25.1
1501+,Aksaray University,10.5–25.1,11.8,9.1,23.1,19.9,28.6
1501+,Altınbaş University,10.5–25.1,12.9,11.5,27.3,20.1,53.6
1501+,Ankara University,10.5–25.1,18.1,12.3,30.7,32.3,35.1
1501+,Ankara Yildirim Beyazit University,10.5–25.1,18.6,12.9,28.2,23.5,33.2
1501+,Atılım University,10.5–25.1,18.7,9.6,35.3,20.3,45.3
1501+,Aydın Adnan Menderes University,10.5–25.1,28.5,18.1,17.8,21.0,23.1
1501+,Başkent University,10.5–25.1,19.9,11.7,16.6,23.7,22.8
1501+,Bezmiâlem Vakif University,10.5–25.1,31.5,11.9,24.8,20.7,27.5
1501+,Bilecik Şeyh Edebali University,10.5–25.1,15.8,10.0,24.2,23.0,36.2
1501+,Bolu Abant Izzet Baysal University,10.5–25.1,15.5,9.5,31.6,17.8,36.4
1501+,Bozok University,10.5–25.1,14.9,9.3,28.6,17.8,32.2
1501+,Burdur Mehmet Akif Ersoy University,10.5–25.1,15.7,9.4,34.2,18.7,23.6
1501+,Bursa Technical University,10.5–25.1,13.8,8.6,25.7,22.2,34.8
1501+,Bursa Uludağ University,10.5–25.1,22.0,11.2,21.6,31.2,32.0
1501+,Çankırı Karatekin University,10.5–25.1,12.4,10.0,23.1,16.0,37.7
1501+,Cukurova University,10.5–25.1,22.0,10.9,27.0,27.8,29.5
1501+,Dicle University,10.5–25.1,30.2,14.8,14.6,53.6,23.3
1501+,Dokuz Eylül University,10.5–25.1,25.2,14.5,25.8,64.6,29.0
1501+,Kütahya Dumlupınar University,10.5–25.1,10.5,8.4,25.0,17.9,40.1
1501+,Erzincan Binali Yıldırım University,10.5–25.1,12.1,8.9,37.4,17.4,23.9
1501+,Eskişehir Osmangazi University,10.5–25.1,22.1,19.4,20.7,19.4,27.2
1501+,Eskişehir Technical University,10.5–25.1,20.2,10.0,22.0,25.1,23.5
1501+,Gaziantep University,10.5–25.1,18.1,10.9,32.8,22.3,40.0
1501+,Hitit University,10.5–25.1,16.0,10.4,15.0,17.2,29.8
1501+,Istanbul Aydın University,10.5–25.1,20.8,9.4,32.6,17.0,56.6
1501+,Istanbul Bilgi University,10.5–25.1,16.1,11.4,38.8,16.7,59.5
1501+,Istanbul Medipol University,10.5–25.1,14.6,12.5,37.4,23.5,49.6
1501+,Izmir Institute of Technology,10.5–25.1,19.7,13.3,25.6,43.3,33.4
1501+,Izmir University of Economics,10.5–25.1,17.8,12.9,31.9,27.7,34.7
1501+,Karabük University,10.5–25.1,13.6,9.4,45.2,17.7,51.9
1501+,Karadeniz Technical University,10.5–25.1,23.1,15.0,30.3,41.9,26.1
1501+,Kastamonu University,10.5–25.1,15.0,11.9,43.5,16.5,37.2
1501+,Kirikkale University,10.5–25.1,19.4,19.4,17.3,26.5,19.1
1501+,Kırşehir Ahi Evran University,10.5–25.1,12.2,10.4,19.5,18.6,37.0
1501+,Kocaeli University,10.5–25.1,12.1,9.6,25.2,26.0,23.6
1501+,Konya Technical University,10.5–25.1,16.7,10.1,44.4,16.4,23.0
1501+,Manisa Celal Bayar University,10.5–25.1,16.0,3.9,24.3,19.2,22.9
1501+,Marmara University,10.5–25.1,23.9,11.5,31.1,28.9,30.0
1501+,Mersin University,10.5–25.1,16.3,10.2,22.9,21.3,28.7
1501+,Mugla Sitki Kocman University,10.5–25.1,12.8,10.9,20.9,21.9,26.0
1501+,Muş Alparslan University,10.5–25.1,10.4,10.9,36.3,16.2,18.3
1501+,Niğde Ömer Halisdemir University,10.5–25.1,13.5,10.0,26.3,19.5,28.9
1501+,Ondokuz Mayis University,10.5–25.1,20.1,11.0,26.9,26.8,37.3
1501+,Ordu University,10.5–25.1,14.1,10.5,24.2,16.7,18.0
1501+,Pamukkale University,10.5–25.1,15.5,10.2,17.0,20.8,21.8
1501+,Recep Tayyip Erdoğan University,10.5–25.1,17.7,10.4,32.8,17.9,22.3
1501+,Sakarya University,10.5–25.1,16.1,10.9,45.9,27.5,30.9
1501+,Sivas Cumhuriyet University,10.5–25.1,16.8,10.2,28.6,19.0,33.0
1501+,Süleyman Demirel University,10.5–25.1,26.2,9.9,39.3,20.2,25.3
1501+,Tokat Gaziosmanpaşa University,10.5–25.1,17.3,9.8,35.6,20.7,33.6
1501+,Trakya University,10.5–25.1,12.7,9.3,19.3,19.7,30.9
1501+,Uşak University,10.5–25.1,12.4,10.4,24.0,16.6,32.2
1501+,Van Yüzüncü Yil University,10.5–25.1,21.8,22.0,20.8,37.9,22.2
1501+,Yeditepe University,10.5–25.1,20.5,12.1,22.1,49.6,40.1
1501+,Zonguldak Bülent Ecevit University,10.5–25.1,12.5,11.1,25.1,19.3,29.3
Reporter,Abdullah Gül University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Ankara Science University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Atlas University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Bandirma Onyedi Eylül University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Bayburt University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Beykent University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Biruni University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Çağ University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Hasan Kalyoncu University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Iğdır University,n/a,n/a,n/a,n/a,n/a,n/a
