rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
Reporter,İstanbul Nişantaşi University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Istanbul Okan University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,KTO Karatay University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Malatya Turgut Ozal University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Samsun University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Sivas University of Science and Technology,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Social Sciences University of Ankara,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Tarsus University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,T. C. Demiroğlu Bilim University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,University of Turkish Aeronautical Association,n/a,n/a,n/a,n/a,n/a,n/a
