rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
301–350,Koç University,42.4–45.1,25.7,32.1,65.2,84.3,53.8
351–400,Sabancı University,40.0–42.3,23.2,35.2,62.1,87.8,46.6
401–500,Bilkent University,35.0–39.9,23.3,20.3,67.1,42.8,55.6
401–500,Boğaziçi University,35.0–39.9,21.5,21.4,57.3,55.1,47.7
601–800,Atılım University,21.5–30.6,16.1,7.5,60.0,33.3,34.6
601–800,Gebze Technical University,21.5–30.6,19.8,10.4,34.7,33.4,26.6
601–800,Hacettepe University,21.5–30.6,28.2,10.7,42.9,33.8,23.6
601–800,Istanbul Technical University,21.5–30.6,22.5,24.2,33.5,100.0,25.6
601–800,Middle East Technical University,21.5–30.6,28.6,20.6,31.9,61.2,29.4
801–1000,Akdeniz University,15.6–21.4,16.2,15.6,12.3,99.7,18.4
801–1000,Erciyes University,15.6–21.4,17.0,11.0,21.8,71.2,20.8
801–1000,Istanbul University,15.6–21.4,26.4,18.1,14.9,52.6,24.4
801–1000,Izmir Institute of Technology,15.6–21.4,18.8,9.2,32.3,42.4,29.8
801–1000,Marmara University,15.6–21.4,19.4,22.7,16.5,31.7,20.5
801–1000,TOBB University of Economics and Technology,15.6–21.4,15.6,10.2,31.1,32.4,26.9
801–1000,Yildiz Technical University,15.6–21.4,18.7,7.7,26.6,42.6,20.5
1001+,Anadolu University,9.2–15.5,13.8,9.7,15.5,32.3,15.9
1001+,Ankara University,9.2–15.5,18.9,8.9,11.4,32.4,20.8
1001+,Dokuz Eylül University,9.2–15.5,16.1,7.6,14.5,32.8,16.9
1001+,Gazi University,9.2–15.5,18.8,9.1,11.2,36.2,15.7
1001+,Ondokuz Mayis University,9.2–15.5,16.7,7.3,4.3,33.2,16.8
1001+,Yeditepe University,9.2–15.5,15.4,8.0,9.7,0.2,23.4
