rank,rank_display,name,city,overall_score,Citations per Faculty,Academic Reputation,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Research Network,International Faculty Ratio,International Student Diversity,Sustainability Score
279,279,Istanbul Technical University (ITU),,47.6,42.4,38.8,8.8,90.2,,34.8,,11.9,,
305,305,Middle East Technical University (METU),,45.5,24.3,44.7,9.7,92.6,,18.7,,12.3,,
329,329,Koç University,,43.3,55.7,35.0,16.8,79.5,,18.2,,21.8,,
345,345,Boğaziçi University,,42.1,28.1,35.3,4.0,89.2,,7.2,,37.2,,
357,357,Sabanci University,,41.4,45.1,25.4,42.6,69.1,,26.7,,57.2,,
454,454,Bilkent University,,34.4,20.8,32.0,10.8,73.3,,6.4,,53.8,,
570,570,Hacettepe University,,29.1,9.8,31.2,21.4,54.4,,5.7,,3.2,,
629,629,Istanbul University,,27.6,4.4,28.8,4.4,48.3,,19.9,,6.6,,
634,634,Yıldız Technical University (YTU),,27.4,31.0,13.6,4.3,54.2,,32.8,,8.2,,
,731-740,Ankara University,,n/a,4.5,27.5,14.2,38.3,,6.6,,2.5,,
,851-900,Gebze Technical University (GIT),,n/a,49.3,9.1,6.7,17.2,,7.5,,24.5,,
,1001-1200,Ege University,,n/a,5.0,14.7,17.7,24.6,,8.4,,1.4,,
,1001-1200,Gazi University,,n/a,7.5,19.7,9.5,22.8,,6.7,,1.4,,
,1001-1200,Marmara University (MU),,n/a,4.2,12.1,5.4,28.3,,5.8,,3.6,,
,1201-1400,Atatürk University,,n/a,11.6,8.4,3.9,6.7,,24.1,,7.5,,
,1201-1400,Dokuz Eylül University (DEÜ),,n/a,2.9,9.5,6.4,17.5,,15.4,,2.6,,
,1201-1400,Erciyes University,,n/a,13.1,6.9,3.6,8.4,,11.5,,8.5,,
,1201-1400,Istanbul Aydın University,,n/a,2.1,8.3,19.9,5.6,,84.1,,11.2,,
,1201-1400,Izmir Institute of Technology (IZTECH),,n/a,21.3,9.0,7.3,15.2,,5.2,,6.5,,
,1201-1400,Özyeğin University,,n/a,11.6,7.3,7.3,16.9,,38.9,,23.1,,
,1201-1400,Selçuk University,,n/a,7.3,7.3,17.2,4.1,,22.6,,2.2,,
,1401+,Akdeniz University,,n/a,6.3,7.0,5.0,8.1,,4.3,,1.7,,
,1401+,Cukurova University,,n/a,5.0,6.3,8.9,6.4,,4.5,,2.2,,
,1401+,Karadeniz Technical University (KTU),,n/a,6.7,5.4,12.9,8.7,,15.8,,1.7,,
,1401+,Sakarya University,,n/a,6.7,5.0,4.8,11.4,,21.0,,2.3,,
