rank,name,sehir,article,citation,total_document,phd_score,faculty,international_collaboration,domestic_collaboration,tubitak,total
19,DOKUZ EYLÜL ÜNİVERSİTESİ,İZMİR,138.05,141.63,140.99,143.93,48.54,80.87,57.75,23.9,775.65
20,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,ANKARA,151.15,161.37,153.17,90.53,36.64,98.32,46.06,31.34,768.58
21,ÇUKUROVA ÜNİVERSİTESİ,ADANA,138.79,138.26,145.18,131.86,46.86,79.96,58.59,21.92,761.42
22,BOĞAZİÇİ ÜNİVERSİTESİ,İSTANBUL,136.36,146.53,150.49,121.18,43.81,92.07,42.12,28.33,760.89
23,AKDENİZ ÜNİVERSİTESİ,ANTALYA,140.33,139.96,139.47,128.44,47.3,77.22,56.4,26.53,755.64
24,KARADENİZ TEKNİK ÜNİVERSİTESİ,TRABZON,134.49,136.74,133.27,127.48,63.55,73.97,55.24,27.55,752.3
25,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,İSTANBUL,135.03,130.53,153.71,76.28,94.83,72.24,68.03,18.62,749.27
26,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İSTANBUL,125.59,130.84,140.23,84.16,95.89,78.4,66.72,22.86,744.69
27,ONDOKUZ MAYIS ÜNİVERSİTESİ,SAMSUN,132.87,133.72,132.85,127.63,44.5,77.49,54.34,23.81,727.22
28,BURSA ULUDAĞ ÜNİVERSİTESİ,BURSA,126.48,130.8,127.67,143.15,46.91,75.05,49.33,22.98,722.38
28,SAKARYA ÜNİVERSİTESİ,SAKARYA,133.37,139.73,130.62,131.03,39.82,74.54,52.86,20.23,722.19
29,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,İZMİR,133.97,127.91,138.11,112,45.74,76.08,46.41,35.69,715.89
30,İNÖNÜ ÜNİVERSİTESİ,MALATYA,126.19,126.98,129.27,132.1,51.53,64.17,57,18.2,705.45
31,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,ESKİŞEHİR,126.94,127.64,128.8,111.67,62.87,71.07,53.71,22.05,704.75
32,ÇANKAYA ÜNİVERSİTESİ,ANKARA,136.17,181.74,158.74,39.45,29.96,108.69,38.51,8.88,702.14
33,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,ANKARA,118.47,123.71,126.93,132.51,55.69,65.57,60.28,17.83,700.99
34,KOCAELİ ÜNİVERSİTESİ,KOCAELİ,131.39,129.74,128.32,114.97,45.49,73.97,51.03,19.23,694.14
35,İSTİNYE ÜNİVERSİTESİ,İSTANBUL,174.62,128.05,132.52,54.1,39.99,87.79,53.02,16.62,686.72
36,İSTANBUL MEDENİYET ÜNİVERSİTESİ,İSTANBUL,117.02,136.21,130.59,92.89,59.34,73.65,56.88,18.85,685.43
37,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR,123.74,126.45,134.31,89.27,59.37,68.52,64.22,19.36,685.24
38,Bu Üniversite 28. Sıraya Yükselmiştir.,-,-,-,-,-,-,-,-,-,-
39,NECMETTİN ERBAKAN ÜNİVERSİTESİ,KONYA,124.07,128.85,126.78,120.35,48.08,61.1,53.1,17.76,680.09
40,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,ISPARTA,114.44,129.82,118.74,125.5,50,68.14,48.44,20.25,675.34
41,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,VAN,117.95,122.06,119.58,111.33,72.42,68.01,48.3,14.24,673.88
42,BAŞKENT ÜNİVERSİTESİ,ANKARA,112.11,107.81,126.79,103.79,78.48,66.97,53.14,9.45,658.54
43,MERSİN ÜNİVERSİTESİ,MERSİN,118.67,120.45,123.42,106.97,47.01,68.14,49.83,19.54,654.05
44,GAZİANTEP ÜNİVERSİTESİ,GAZİANTEP,117.94,124.86,126.17,102.74,41.25,66.67,51.39,18.8,649.82
45,DÜZCE ÜNİVERSİTESİ,DÜZCE,123.87,130.55,120.17,90.62,50.66,68.87,48.9,15.53,649.18
46,HARRAN ÜNİVERSİTESİ,ŞANLIURFA,123.07,127.95,117.73,89.39,57.03,67.17,48.89,17.39,648.63
47,İSTANBUL MEDİPOL ÜNİVERSİTESİ,İSTANBUL,121.34,123.42,123.84,96.6,32.75,76.07,52.95,21.03,647.99
48,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,ESKİŞEHİR,113.86,117.36,112.25,107.95,56.48,64.54,45.26,21.79,639.49
49,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,RİZE,123.1,125.91,116.99,65.96,73.74,63.78,49.47,19.74,638.68
50,KONYA TEKNİK ÜNİVERSİTESİ,KONYA,115.24,119.48,111,103.78,62.76,55.43,44.59,20.07,632.35
51,SİVAS CUMHURİYET ÜNİVERSİTESİ,SİVAS,126.49,126.78,118.69,77.65,48.89,72.19,44.7,14.65,630.03
52,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,MANİSA,113.18,122.9,116.22,93.87,52.23,66.72,47.47,17.29,629.88
53,BAHÇEŞEHİR ÜNİVERSİTESİ,İSTANBUL,115.2,133.34,125.38,86.48,22.86,78.26,48.27,17.19,626.96
54,KARABÜK ÜNİVERSİTESİ,KARABÜK,110.05,126.77,112.03,113.78,35.66,66.71,44.55,15.3,624.84
55,PAMUKKALE ÜNİVERSİTESİ,DENİZLİ,107.98,108.99,120.42,109.45,59.59,51.24,48.62,18.52,624.81
56,YEDİTEPE ÜNİVERSİTESİ,İSTANBUL,106.13,113.79,114.73,118.71,35.13,69.73,45.13,20.07,623.41
57,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,BOLU,100.22,122.99,111.04,100.53,52.06,66.7,44.5,22.62,620.67
58,ABDULLAH GÜL ÜNİVERSİTESİ,KAYSERİ,130.91,133.86,116.36,66.19,33.69,70.5,42.19,24.17,617.88
59,BİNGÖL ÜNİVERSİTESİ,BİNGÖL,114.53,127.6,115.96,71.73,59.78,61.92,46.2,17.77,615.49
60,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,MUĞLA,109.69,109.22,111.84,97.37,48.67,66.1,45.27,23.34,611.52
61,ANADOLU ÜNİVERSİTESİ,ESKİŞEHİR,87.42,118.48,91.99,142.07,53.1,57.73,37.01,14.45,602.24
62,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,ÇANAKKALE,107.01,108.53,105.94,99.92,58.64,57.28,41.53,22.6,601.44
63,KASTAMONU ÜNİVERSİTESİ,KASTAMONU,111.66,118.06,103.84,93.68,55.68,62.53,42.54,10.43,598.42
64,KADİR HAS ÜNİVERSİTESİ,İSTANBUL,124.54,112.01,111.18,79.47,31.85,71.81,35.55,30.57,596.97
65,BİRUNİ ÜNİVERSİTESİ,İSTANBUL,126.84,123.6,112.21,56.26,46.66,75.88,45.76,8.81,596.02
66,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,AYDIN,91.8,101.77,103.99,111.09,58.96,58.97,42.22,22.4,591.21
67,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,ANKARA,97.78,114.7,124.09,62.96,57.29,69.14,42.06,22.86,590.88
68,HİTİT ÜNİVERSİTESİ,ÇORUM,107.02,113.46,114.32,77.99,59.67,53.87,52.15,9.32,587.8
69,ATILIM ÜNİVERSİTESİ,ANKARA,109.28,119.98,110.6,72.51,40.43,70.88,44.11,16,583.79
70,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,KARAMAN,107.39,121.57,108.5,52.63,74.09,59.86,40.06,17.38,581.48
71,ÖZYEĞİN ÜNİVERSİTESİ,İSTANBUL,102.91,115.16,123.32,69.44,37.41,73.8,34.36,24.01,580.42
72,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,NİĞDE,95.95,116.43,103.93,88.93,52.35,64.21,40.28,18.35,580.41
73,BARTIN ÜNİVERSİTESİ,BARTIN,116.66,130.34,111.78,36.66,52.42,66.7,45.56,17.08,577.2
74,KIRIKKALE ÜNİVERSİTESİ,KIRIKKALE,103.67,107.18,107.64,96.62,48.34,49.86,46.8,12.42,572.54
75,ERZURUM TEKNİK ÜNİVERSİTESİ,ERZURUM,113.04,105.86,95,70.73,69.45,56.57,39.92,19.02,569.58
76,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,ISPARTA,104.64,83.16,91.8,94.5,92.43,41.82,38,22.19,568.54
77,TRAKYA ÜNİVERSİTESİ,EDİRNE,88.4,114.42,108.02,98.95,49.03,52.45,42.18,13.69,567.14
78,SİİRT ÜNİVERSİTESİ,SİİRT,121.95,124.43,106.59,37.37,58.61,71.51,37.26,8.9,566.62
79,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,ZONGULDAK,111.39,115.81,109.04,66.97,50.21,51.66,44.98,16.09,566.16
80,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,KAHRAMANMARAŞ,90.64,101.63,108.87,94.59,58.85,45.9,46.9,18.43,565.82
81,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,ERZİNCAN,110.82,110.54,110.81,62.3,68.79,40.5,47.59,10.76,562.12
82,ORDU ÜNİVERSİTESİ,ORDU,96.68,110.01,105.78,79.27,64.32,51.45,45.63,8.62,561.76
83,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,ADANA,112.98,109.82,101.51,59.67,61.72,56.27,40.53,18.83,561.32
84,AFYON KOCATEPE ÜNİVERSİTESİ,AFYONKARAHİSAR,93.77,106.38,105.72,93.61,47.74,52.38,42.59,16.59,558.78
85,İSKENDERUN TEKNİK ÜNİVERSİTESİ,HATAY,106.05,132.95,105.82,57.54,38.29,59.65,43.77,13.61,557.69
86,BURSA TEKNİK ÜNİVERSİTESİ,BURSA,111.05,114.74,104.49,69.29,34.2,58.37,43.81,20.85,556.81
87,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,TOKAT,105.82,107.64,103.98,79.11,54.76,51.96,41.74,11.68,556.69
88,YOZGAT BOZOK ÜNİVERSİTESİ,YOZGAT,104.72,122.58,114.8,30.87,53.07,63.76,48.08,16.21,554.11
89,AKSARAY ÜNİVERSİTESİ,AKSARAY,105.15,113.63,106.08,55.28,58.52,52.76,44.18,17.38,552.99
90,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,TEKİRDAĞ,98.25,106.21,111.27,67.85,53.78,47.29,48.03,19.38,552.06
91,DİCLE ÜNİVERSİTESİ,DİYARBAKIR,104.71,97.1,104.26,97,49.06,47.9,47.57,4.22,551.83
92,HASAN KALYONCU ÜNİVERSİTESİ,GAZİANTEP,92.23,110.31,100.21,97.86,27.85,62.94,42.16,14.92,548.48
93,TARSUS ÜNİVERSİTESİ,MERSİN,116.91,95.09,94.15,56.03,70.73,58.85,39.3,13.63,544.68
94,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,HATAY,90.38,99.7,104.76,69.42,66.43,46.17,45.32,16.78,538.97
95,ADIYAMAN ÜNİVERSİTESİ,ADIYAMAN,100.36,113.32,117.62,17.92,73.01,60.92,48.17,6.72,538.05
96,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,ÇANKIRI,99.2,99.82,96.19,75.84,48.96,52.96,41.82,15.38,530.17
97,IĞDIR ÜNİVERSİTESİ,IĞDIR,108.3,107.6,95.55,48.97,58.24,55.48,41.33,13.89,529.37
98,İSTANBUL TİCARET ÜNİVERSİTESİ,İSTANBUL,109.49,99.02,89.62,118.28,15.83,60.63,30.89,0.85,524.61
99,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,OSMANİYE,110.42,118.21,97.12,42.32,49.53,59.37,38.04,7.34,522.36
100,GİRESUN ÜNİVERSİTESİ,GİRESUN,97.65,104.17,105.73,51.62,72.52,43.1,41.93,5.59,522.31
101,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,KIRŞEHİR,90.37,103.37,101.01,58.17,66.13,47.27,45.21,10.26,521.78
102,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,BURDUR,99.07,99.14,91.73,76.68,49.4,47.73,40.37,17.63,521.75
103,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,BİLECİK,106,101.89,95.37,59.25,54.4,41.89,42.2,17.72,518.73
104,YAŞAR ÜNİVERSİTESİ,İZMİR,92.31,116.41,100.4,58.21,38.82,65.17,30.53,14.16,516.02
105,KAFKAS ÜNİVERSİTESİ,KARS,94.21,87.89,102.56,70.78,70.38,37.21,40.23,9.61,512.88
106,UŞAK ÜNİVERSİTESİ,UŞAK,89.84,98.64,106.43,57.85,43.55,57.45,44.93,11.52,510.21
107,BALIKESİR ÜNİVERSİTESİ,BALIKESİR,86.25,86.89,94.78,76.06,64.17,43.74,42.27,10.91,505.05
108,ALTINBAŞ ÜNİVERSİTESİ,İSTANBUL,90.79,88.06,90.87,90.81,40.24,57.57,36.44,9.01,503.79
109,İZMİR EKONOMİ ÜNİVERSİTESİ,İZMİR,93.98,106.9,102.98,30.46,48.35,62.06,40.51,17.67,502.9
110,MUNZUR ÜNİVERSİTESİ,TUNCELİ,100.51,118.99,97.01,9.85,64.15,57.08,40.85,12.26,500.7
111,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,SAKARYA,101.32,95.03,83.86,76.67,44.04,49.76,36.63,13.05,500.36
112,İBN HALDUN ÜNİVERSİTESİ,İSTANBUL,77.07,88.6,73.19,121.55,66.9,51.12,12.23,2.27,492.92
113,DEMİROĞLU BİLİM ÜNİVERSİTESİ,İSTANBUL,86.15,101.62,97.92,1.48,88.84,53.51,48.99,0.02,478.53
114,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,NEVŞEHİR,70.9,104.5,80.29,89.08,42.21,49.27,33.8,6.83,476.87
115,SİNOP ÜNİVERSİTESİ,SİNOP,85.31,108.13,105.65,7.33,72.23,50.43,39.26,6.41,474.75
116,BAYBURT ÜNİVERSİTESİ,BAYBURT,89.24,104.8,82.71,39.64,58.73,46.32,37.83,10.43,469.71
117,İSTANBUL GELİŞİM ÜNİVERSİTESİ,İSTANBUL,84.01,129.19,87.53,42.35,26.78,67.9,30.99,0.74,469.48
118,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İSTANBUL,63.76,89.11,83.15,113.62,22.59,54.77,30.45,11.17,468.63
119,BATMAN ÜNİVERSİTESİ,BATMAN,103.13,93.77,78.58,45.06,67,41.27,32.76,4.8,466.38
120,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,AĞRI,94.27,110.98,82.16,23.57,54.83,52.83,37.7,6.81,463.15
121,KONYA GIDA VE TARIM ÜNİVERSİTESİ,KONYA,92.81,108.68,91.93,35.37,27.1,47.51,41.43,17.9,462.74
122,İSTANBUL AREL ÜNİVERSİTESİ,İSTANBUL,75.78,84.33,71.87,80.77,61.04,57.7,29.09,1.52,462.1
123,ARDAHAN ÜNİVERSİTESİ,ARDAHAN,75.94,114.95,81.61,29.76,69.12,52.55,37.69,0.02,461.65
124,İSTANBUL BİLGİ ÜNİVERSİTESİ,İSTANBUL,84.41,103.39,117.82,44.73,3.27,64.94,28.6,14.17,461.34
125,İSTANBUL AYDIN ÜNİVERSİTESİ,İSTANBUL,80.98,75.53,97.26,80.6,37.25,45.29,34.01,5.71,456.63
126,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,İSTANBUL,129.38,116.72,94.45,11.43,0.1,73.7,27.26,2.32,455.36
127,ARTVİN ÇORUH ÜNİVERSİTESİ,ARTVİN,87.32,94.45,84.19,20.71,71.21,43.02,37.47,11.46,449.83
128,MUŞ ALPARSLAN ÜNİVERSİTESİ,MUŞ,97.98,106.19,88.57,17.86,61.22,40.82,36.72,0.22,449.59
129,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,MALATYA,95.55,87.19,81.33,12.35,85.7,35.56,40.66,10.89,449.23
130,GÜMÜŞHANE ÜNİVERSİTESİ,GÜMÜŞHANE,87.03,88.04,81.11,68.05,49.62,35.07,36.92,2.23,448.06
131,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,AFYONKARAHİSAR,101.79,72.59,96.42,8.93,82.62,32.31,44.81,4.54,444.01
132,ÜSKÜDAR ÜNİVERSİTESİ,İSTANBUL,64.99,104.24,72.14,74.49,31.94,58.54,30.58,6.54,443.46
133,YALOVA ÜNİVERSİTESİ,YALOVA,83.83,85.33,68.77,80.81,47.56,29.69,28.94,14.54,439.46
134,ANTALYA BİLİM ÜNİVERSİTESİ,ANTALYA,92.1,107.14,88.49,2.59,42.56,58.21,30.12,15.38,436.6
135,AMASYA ÜNİVERSİTESİ,AMASYA,79.38,83.19,86.72,26.53,79.25,34.07,40.13,5.69,434.96
136,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,BALIKESİR,104.63,79.79,74.92,40.21,48.14,44.56,33.85,7.13,433.23
137,GALATASARAY ÜNİVERSİTESİ,İSTANBUL,54.27,73.71,69.77,113.1,53.49,35.13,20.1,12.73,432.31
138,TED ÜNİVERSİTESİ,ANKARA,90.65,82.46,88.59,13.79,44.19,55.04,33.57,18.01,426.3
139,İSTANBUL OKAN ÜNİVERSİTESİ,İSTANBUL,58.32,71.48,65.31,98.8,51.53,41.43,30.61,7.83,425.31
140,BİTLİS EREN ÜNİVERSİTESİ,BİTLİS,90.13,80.01,81.04,23.2,65.13,44.99,34.03,6.01,424.53
141,TÜRK-ALMAN ÜNİVERSİTESİ,İSTANBUL,85.97,93.13,78.37,45.54,30.43,55.8,23.49,11.54,424.27
142,İZMİR BAKIRÇAY ÜNİVERSİTESİ,İZMİR,95.21,65.13,91.91,34.18,49.22,36.57,42,9.93,424.16
143,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,KÜTAHYA,72.19,92.02,73.79,66.08,37.3,41.81,31.77,8.19,423.14
144,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,KÜTAHYA,86.63,63.04,92.66,19.26,83.4,22.02,44.79,9.84,421.65
145,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,ANTALYA,86.1,76.34,87.39,29.27,44.65,41.23,39.53,14.92,419.44
146,KAYSERİ ÜNİVERSİTESİ,KAYSERİ,87.58,89.2,65.67,50.16,53.42,24.39,34.63,12.5,417.55
147,PİRİ REİS ÜNİVERSİTESİ,İSTANBUL,87.56,88.02,106.77,17,27.67,48.05,34.28,7.64,416.99
148,LOKMAN HEKİM ÜNİVERSİTESİ,ANKARA,84.3,56.57,69.22,51.44,79.48,26.05,38.93,8.49,414.48
149,SAMSUN ÜNİVERSİTESİ,SAMSUN,94.49,95.04,66.4,17.76,61.16,39.56,32.12,7.23,413.76
150,MALTEPE ÜNİVERSİTESİ,İSTANBUL,49.26,62.79,66.58,93.89,70.82,30.96,31.34,3.27,408.93
151,KTO KARATAY ÜNİVERSİTESİ,KONYA,72.3,93.3,94.02,24.77,27.36,38.69,36.87,7.86,395.18
152,YÜKSEK İHTİSAS ÜNİVERSİTESİ,ANKARA,58.93,107.86,54.16,0.2,99,23.5,31.12,6.25,381.01
153,UFUK ÜNİVERSİTESİ,ANKARA,59.1,65.01,94.17,13.32,58.06,31.72,49.44,4.06,374.88
154,TÜRK HAVA KURUMU ÜNİVERSİTESİ,ANKARA,70.08,106.82,83.35,10.56,16.71,47.04,35.87,3.63,374.06
155,KIRKLARELİ ÜNİVERSİTESİ,KIRKLARELİ,71.61,76.75,69.11,17.85,58.64,34.15,31,10.27,369.39
156,DOĞUŞ ÜNİVERSİTESİ,İSTANBUL,73.36,75.26,67.73,37.37,27.65,54.81,25.15,4.04,365.36
157,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,ANKARA,40.49,40.08,41.59,150.52,39.78,17.05,19.77,8,357.27
158,HAKKARİ ÜNİVERSİTESİ,HAKKARİ,70.69,66.85,61.75,2.17,87.21,35.62,28.43,0.02,352.75
159,İSTANBUL GEDİK ÜNİVERSİTESİ,İSTANBUL,58.45,56.17,61.26,73.73,38.82,32.23,28.12,0.02,348.8
160,ŞIRNAK ÜNİVERSİTESİ,ŞIRNAK,56.98,53.92,78.48,26.11,75.43,24.98,22.14,10.02,348.06
161,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,İSTANBUL,52.1,75.6,63.04,50.79,21.27,42.97,26.96,7.91,340.64
162,İZMİR DEMOKRASİ ÜNİVERSİTESİ,İZMİR,70.94,61.6,78.92,13.62,28.66,33.28,40.35,11.84,339.21
163,IŞIK ÜNİVERSİTESİ,İSTANBUL,43.09,72.07,72.64,50.25,11.87,48.61,26.45,13.23,338.23
164,İSTANBUL BEYKENT ÜNİVERSİTESİ,İSTANBUL,59.5,65.71,76,39.1,36.36,28.9,29.83,0.84,336.25
165,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,İSTANBUL,26.09,33.72,52.27,125.19,58.72,24.02,11.07,3.93,335.02
166,MARDİN ARTUKLU ÜNİVERSİTESİ,MARDİN,63.07,68.77,58.75,37.58,49.77,29.38,26.52,1.13,334.97
167,KİLİS 7 ARALIK ÜNİVERSİTESİ,KİLİS,56.25,84.78,68.57,11.98,40.72,32.9,31.52,6.55,333.27
168,OSTİM TEKNİK ÜNİVERSİTESİ,ANKARA,101.72,69.3,66,0.2,16.24,57.64,18.67,1.54,331.31
169,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İSTANBUL,54.8,46.45,47.14,94.44,32.45,24.04,21.71,4.47,325.51
170,ÇAĞ ÜNİVERSİTESİ,MERSİN,10.28,147.41,63.81,20.46,12.97,54.95,13.85,0.02,323.75
171,SANKO ÜNİVERSİTESİ,GAZİANTEP,42.3,45.83,72.54,7.14,89.07,24,37.43,0.02,318.33
172,MEF ÜNİVERSİTESİ,İSTANBUL,59.85,65.73,69.19,3.49,30.31,50.38,23.75,13.13,315.83
173,HALİÇ ÜNİVERSİTESİ,İSTANBUL,55.38,57.89,54.6,44.63,15.49,32.47,28.45,0.39,289.3
174,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,ANKARA,25.37,42.16,41.06,83.83,55.27,21.11,12.95,3.69,285.44
175,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,GAZİANTEP,84,55.32,48.2,0.2,44.85,15.07,27.19,7.57,282.4
176,TRABZON ÜNİVERSİTESİ,TRABZON,34.09,39.19,44.28,61.94,55.08,10.71,21.18,15.51,281.97
177,NUH NACİ YAZGAN ÜNİVERSİTESİ,KAYSERİ,71.15,47.05,62.83,7.02,39.24,15.5,31.28,6.02,280.08
178,ANKARA MEDİPOL ÜNİVERSİTESİ,ANKARA,72.25,50.14,46.9,11.19,39.15,20.99,25.42,8.73,274.77
179,KAPADOKYA ÜNİVERSİTESİ,NEVŞEHİR,63.84,45.8,55.01,12.66,26.18,43.78,24.57,0.02,271.85
180,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,İSTANBUL,32.28,53.01,57.33,26.26,52.46,16.77,30.65,2.52,271.27
181,TOROS ÜNİVERSİTESİ,MERSİN,55.33,33.22,45.66,13,50.06,22.69,22.44,0.02,242.41
182,İSTANBUL KENT ÜNİVERSİTESİ,İSTANBUL,45.55,27.14,29.85,39.21,29.41,18.38,17.88,7.07,214.49
183,FENERBAHÇE ÜNİVERSİTESİ,İSTANBUL,57.41,23.05,47.18,4.14,36.49,12.83,28.76,1.17,211.03
184,AVRASYA ÜNİVERSİTESİ,TRABZON,21.95,31.44,31.04,26.5,47.33,12.15,19.66,2.12,192.18
185,İSTANBUL RUMELİ ÜNİVERSİTESİ,İSTANBUL,26.74,31.25,31.93,10.06,49.13,11.16,19.59,1.04,180.91
186,İSTANBUL TOPKAPI ÜNİVERSİTESİ,İSTANBUL,42.21,23.8,19.89,25.1,26.48,18.92,9.41,0.02,165.83
187,İSTANBUL ESENYURT ÜNİVERSİTESİ,İSTANBUL,30.67,24.5,25.28,1.36,23.11,12.44,14.6,0.02,131.97
188,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İSTANBUL,4.33,0.2,13.1,62.56,30.14,2.34,2.48,4.25,119.41
189,ALANYA ÜNİVERSİTESİ,ANTALYA,0.2,15.52,0.2,0.2,82.6,2.26,0.49,6.93,108.39
190,BEYKOZ ÜNİVERSİTESİ,İSTANBUL,22.24,14.92,16.89,0.2,30.57,13.11,9.23,0.02,107.18
