rank,name,sehir,article,citation,total_document,phd_score,faculty,international_collaboration,domestic_collaboration,tubitak,total
1,KOÇ ÜNİVERSİTESİ,İSTANBUL,183.7,188.9,183.55,124.47,62.74,118.2,70.77,38.33,970.66
2,HACETTEPE ÜNİVERSİTESİ,ANKARA,163.59,166.16,175.4,183.68,61.17,96.46,69.75,32.44,948.64
3,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,ANKARA,167.58,169.53,169.34,177.91,25.16,101.24,61.83,38.03,910.61
4,ANKARA ÜNİVERSİTESİ,ANKARA,152.77,155.5,156.67,195.28,55.08,93.24,64.26,31.56,904.37
5,İSTANBUL TEKNİK ÜNİVERSİTESİ,İSTANBUL,168.33,165.19,163.5,173.12,41.62,97.57,60.17,32.87,902.36
6,İSTANBUL ÜNİVERSİTESİ,İSTANBUL,144.17,153.91,158.25,199,50.55,92.54,64.38,26.1,888.9
7,GAZİ ÜNİVERSİTESİ,ANKARA,152.56,150.96,153.11,188.21,67.43,83.83,67.07,23.06,886.23
8,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,İSTANBUL,149.48,155.16,155.99,165.82,74.29,86.68,68.6,24.38,880.4
9,SABANCI ÜNİVERSİTESİ,İSTANBUL,165.9,181.24,162.32,106.17,54.65,107.96,46.55,34.08,858.87
10,EGE ÜNİVERSİTESİ,İZMİR,150.02,150.77,150.89,161.6,61.64,88.2,59.89,32.58,855.57
11,ATATÜRK ÜNİVERSİTESİ,ERZURUM,151.24,150.45,141.2,158.6,53.7,81.87,59.06,24.9,821.04
12,YILDIZ TEKNİK ÜNİVERSİTESİ,İSTANBUL,158.88,153.38,149.25,159.04,29.64,82.06,60.45,28.34,821.03
13,MARMARA ÜNİVERSİTESİ,İSTANBUL,134.6,144.77,143.23,172.66,49.74,85.06,57.27,25.05,812.38
14,ERCİYES ÜNİVERSİTESİ,KAYSERİ,147.49,151.05,146.1,141.94,44.47,82.52,61.82,26.92,802.31
15,GEBZE TEKNİK ÜNİVERSİTESİ,KOCAELİ,153.02,152.5,141.85,125.79,46.86,83.98,57,33.77,794.77
16,SELÇUK ÜNİVERSİTESİ,KONYA,141.74,143.92,139.52,142.12,52.84,81.42,58.37,20.38,780.3
17,FIRAT ÜNİVERSİTESİ,ELAZIĞ,142.42,151.12,137.12,123.02,61.64,83.87,54.72,24.98,778.89
18,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İSTANBUL,149.45,127.63,154.19,111.09,100,61.29,66.25,8.27,778.18
