rank,name,sehir,article,citation,total_document,phd_score,faculty,total
43,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,Manisa,111.43,122.12,115.41,97.1,45.75,491.81
44,İSTANBUL MEDENİYET ÜNİVERSİTESİ,İstanbul,108.55,127.29,120.52,78.24,55.98,490.58
45,MERSİN ÜNİVERSİTESİ,Mersin,103.16,113.09,122.52,103.81,47.86,490.43
46,BAŞKENT ÜNİVERSİTESİ,Ankara,86.7,103.73,128.09,94.58,76.14,489.24
47,SİVAS CUMHURİYET ÜNİVERSİTESİ,Sivas,114.48,119.79,113.26,85.33,49.49,482.36
48,NECMETTİN ERBAKAN ÜNİVERSİTESİ,Konya,96.47,107.6,111.46,115.11,49.54,480.18
49,DÜZCE ÜNİVERSİTESİ,Düzce,117.11,121.41,111.95,80.73,48.42,479.62
50,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,Ankara,104.5,114.36,138.73,64.75,55.76,478.09
51,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bolu,114.26,117.28,112.9,84.59,47.49,476.52
52,KIRIKKALE ÜNİVERSİTESİ,Kırıkkale,107.56,113.67,110.1,100.63,43.7,475.67
53,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,Muğla,101.87,108.34,113.55,103.18,47.63,474.57
54,HİTİT ÜNİVERSİTESİ,Çorum,108.03,116.64,110.76,73.52,63.44,472.39
55,DİCLE ÜNİVERSİTESİ,Şanlıurfa,89.64,106.52,112.84,104.95,54.4,468.35
56,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,Rize,112.58,116.29,112.8,64.16,62.16,468
57,ATILIM ÜNİVERSİTESİ,Ankara,127.5,119.06,112.83,69.03,38.6,467.02
58,HARRAN ÜNİVERSİTESİ,Şanlıurfa,114.41,115.44,109.64,74.09,53.41,466.98
59,YEDİTEPE ÜNİVERSİTESİ,İstanbul,96.99,106.91,108.7,117.94,35.71,466.25
60,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,Aydın,97.57,104.12,107.27,106.08,49.7,464.74
61,KARABÜK ÜNİVERSİTESİ,Karabük,111.35,121.3,99.24,101.98,27.7,461.57
62,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,Tokat,88.03,117.62,115.95,86.84,52.47,460.91
63,ÖZYEĞİN ÜNİVERSİTESİ,İstanbul,115.75,114.94,133.1,64.6,31.43,459.83
64,BİNGÖL ÜNİVERSİTESİ,Bingöl,104.31,116.77,115.8,64.8,54.69,456.38
65,İSTANBUL MEDİPOL ÜNİVERSİTESİ,İstanbul,105.21,106.86,115.31,85.22,41.06,453.65
66,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,Niğde,105.27,113.29,102.56,80.16,50.98,452.26
67,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,Çanakkale,101.25,104.09,100.97,89.22,54.6,450.12
68,AFYON KOCATEPE ÜNİVERSİTESİ,Afyon,96.08,109.45,108.02,88.57,40.71,442.83
69,BALIKESİR ÜNİVERSİTESİ,Balıkesir,103.4,105.71,99.46,76.23,52.99,437.8
70,BAHÇEŞEHİR ÜNİVERSİTESİ,İstanbul,117.61,115.17,121.87,72.29,8.12,435.07
71,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Adana,109.69,110.06,95.28,52.26,66.8,434.09
72,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,Kahramanmaraş,91.09,96.94,97.24,94.26,54.44,433.97
73,TRAKYA ÜNİVERSİTESİ,Trakya,82.53,99.49,105.88,95.56,44.68,428.13
74,BURSA TEKNİK ÜNİVERSİTESİ,Bursa,112.48,118.3,99.6,55.83,41.5,427.7
75,İSKENDERUN TEKNİK ÜNİVERSİTESİ,İskenderun,111.74,123.43,96.39,52.25,39.44,423.24
76,KASTAMONU ÜNİVERSİTESİ,Kastamonu,106.58,105.27,88.13,83.4,39.65,423.03
77,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Zonguldak,97.74,112.24,108.63,57.36,46.95,422.92
78,YOZGAT BOZOK ÜNİVERSİTESİ,Yozgat,121.2,121.5,108.39,15.68,54.66,421.43
79,AKSARAY ÜNİVERSİTESİ,Aksaray,101.72,114.73,95.72,52.92,53.22,418.32
80,İSTANBUL AREL ÜNİVERSİTESİ,İstanbul,87.97,99.64,82.87,100.05,47.39,417.92
81,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,Hatay,90.17,98.6,103.8,69.06,54.21,415.84
82,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,Erzincan,85.69,107.43,109.27,50.28,60.85,413.53
83,ORDU ÜNİVERSİTESİ,Ordu,98.55,101.16,103.71,52.42,57.47,413.31
84,ADIYAMAN ÜNİVERSİTESİ,Adıyaman,101.21,109.51,121.51,18.52,60.94,411.7
85,GİRESUN ÜNİVERSİTESİ,Giresun,100.02,102.1,108.15,36.6,61.71,408.58
86,KONYA TEKNİK ÜNİVERSİTESİ,Konya,115.05,65.26,60.75,109.39,56.44,406.89
87,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Eskişehir,119.87,63.64,69.4,101.47,51.88,406.27
88,MUNZUR ÜNİVERSİTESİ,Tunceli,101.26,125.7,96.83,7.81,73.9,405.5
89,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,Karaman,103.31,111.35,100.7,33.81,55.72,404.89
90,BARTIN ÜNİVERSİTESİ,Bartın,113.46,111.39,97.17,37.68,45.04,404.75
91,ERZURUM TEKNİK ÜNİVERSİTESİ,Erzurum,89.99,107.53,88.15,55.24,60.44,401.35
92,GALATASARAY ÜNİVERSİTESİ,İstanbul,38.34,101.27,76.89,119.18,65.07,400.74
93,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,Kırşehir,103.52,103.53,100.27,30.83,61.59,399.74
94,YALOVA ÜNİVERSİTESİ,Yalova,92.06,103.77,75.42,78.76,48.73,398.74
95,YAŞAR ÜNİVERSİTESİ,İzmir,95.96,100.64,90.21,70.65,40.71,398.17
96,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,Çankırı,97.52,112.26,93.92,52.76,38.04,394.51
97,KAFKAS ÜNİVERSİTESİ,Kars,75.39,89.16,113.17,58.59,57.79,394.1
98,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,Kütahya,85.71,114.49,95.03,71.47,25.91,392.6
99,SİNOP ÜNİVERSİTESİ,Sinop,104.51,113.37,112.87,4.34,57.45,392.55
100,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,Tekirdağ,61.83,112.35,95.98,65.73,55.09,390.98
101,İSTANBUL BİLGİ ÜNİVERSİTESİ,İstanbul,96.88,106.19,132.67,46.23,1.15,383.12
102,SİİRT ÜNİVERSİTESİ,Siirt,105.98,106.37,95.59,24.19,47.14,379.28
103,KADİR HAS ÜNİVERSİTESİ,İstanbul,87.1,86.89,94.89,73.13,37.05,379.06
104,İZMİR EKONOMİ ÜNİVERSİTESİ,İzmir,91.07,107.47,99.99,31.2,45.09,374.82
105,ÜSKÜDAR ÜNİVERSİTESİ,İstanbul,66.52,106.68,69.63,33.76,97.21,373.79
106,ARDAHAN ÜNİVERSİTESİ,Ardahan,97.06,96.8,68.51,47.73,62.16,372.27
107,DEMİROĞLU BİLİM ÜNİVERSİTESİ,İstanbul,64.93,106.63,105.43,7.63,80.54,365.16
108,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,Nevşehir,86.06,94.87,76.71,70.14,35.74,363.52
109,UŞAK ÜNİVERSİTESİ,Uşak,98.37,85.82,83.8,55.08,39.91,362.99
110,HASAN KALYONCU ÜNİVERSİTESİ,Gaziantep,72.93,85.23,79.69,91.04,30.97,359.86
111,PİRİ REİS ÜNİVERSİTESİ,İstanbul,88.29,77.07,127.21,25.04,41.67,359.28
112,GÜMÜŞHANE ÜNİVERSİTESİ,Gümüşhane,83.69,100.2,82.24,43.65,45.95,355.72
113,IĞDIR ÜNİVERSİTESİ,Iğdır,85.77,100.41,70,30.01,63.79,349.97
114,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Bilecik,87.04,83.55,82.19,44.85,49.78,347.42
115,BAYBURT ÜNİVERSİTESİ,Bayburt,93.18,107.8,85.02,14.93,45.38,346.3
116,ÇAĞ ÜNİVERSİTESİ,Mersin,80.09,138.15,108.69,17.88,1.1,345.9
117,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Isparta,98.82,38.97,48.64,73.24,81.77,341.44
118,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,Osmaniye,81.49,86.08,75.09,47.55,50.04,340.25
119,BİTLİS EREN ÜNİVERSİTESİ,Bitlis,85.83,95.98,90.34,8.76,57.81,338.73
120,ALTINBAŞ ÜNİVERSİTESİ,İstanbul,73.16,83.27,86.42,65.7,28.97,337.52
121,KONYA GIDA VE TARIM ÜNİVERSİTESİ,Konya,75.07,100.84,62.55,16.97,78.84,334.26
122,TÜRK HAVA KURUMU ÜNİVERSİTESİ,Ankara,94.27,94.85,75.44,32.76,34.89,332.21
123,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,İstanbul,22.77,43.75,76.22,127.7,61.18,331.62
124,İSTANBUL OKAN ÜNİVERSİTESİ,İstanbul,66.66,66.9,63.11,85.83,48.86,331.37
125,BATMAN ÜNİVERSİTESİ,Batman,85.51,95.44,72.84,19.13,55.74,328.67
126,İSTANBUL AYDIN ÜNİVERSİTESİ,İstanbul,57.06,63.74,108.41,63.58,32.95,325.73
127,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,Ağrı,95.15,102.86,75.96,5.75,43.82,323.54
128,AMASYA ÜNİVERSİTESİ,Amasya,84.9,76.93,78.88,11.39,70.38,322.48
129,DOĞUŞ ÜNİVERSİTESİ,İstanbul,63.11,97.02,78.81,46.01,34.09,319.04
130,MUŞ ALPARSLAN ÜNİVERSİTESİ,Muş,92.15,87.89,68.56,8.82,61.07,318.5
131,ANTALYA BİLİM ÜNİVERSİTESİ,Antalya,92.4,100.74,71.82,0.2,51.51,316.67
132,MALTEPE ÜNİVERSİTESİ,İstanbul,52.16,53.67,51.53,91.12,60.43,308.9
133,TED ÜNİVERSİTESİ,Ankara,92.87,85.16,82.63,3.61,43.09,307.36
134,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Burdur,48.17,83.09,68.76,61.37,42.91,304.29
135,KİLİS 7 ARALIK ÜNİVERSİTESİ,Kilis,80.68,97.51,71.86,5.42,43.11,298.58
136,BİRUNİ ÜNİVERSİTESİ,İstanbul,72.53,68.25,62.04,27.3,65.12,295.23
137,ARTVİN ÇORUH ÜNİVERSİTESİ,Artvin,64.04,79.02,73.67,13.78,64.06,294.57
138,İSTANBUL GELİŞİM ÜNİVERSİTESİ,İstanbul,76.73,80.53,53.74,50.65,32.45,294.1
139,TARSUS ÜNİVERSİTESİ,Mersin,89.46,37.59,33.13,54.96,78.08,293.21
140,YÜKSEK İHTİSAS ÜNİVERSİTESİ,Ankara,32.81,128.01,32.92,0.2,99,292.94
141,HAKKARİ ÜNİVERSİTESİ,Hakkari,77.01,74.7,52.6,0.2,88.31,292.82
142,KTO KARATAY ÜNİVERSİTESİ,Konya,55.3,99.24,84.96,19.29,30,288.8
143,IŞIK ÜNİVERSİTESİ,İstanbul,55.96,79.65,83.96,41.46,21.57,282.61
144,BEYKENT ÜNİVERSİTESİ,İstanbul,55.32,54.26,74.44,61.85,32.35,278.22
145,İSTANBUL TİCARET ÜNİVERSİTESİ,İstanbul,37.06,50.93,57.82,109.76,15.59,271.17
146,İSTİNYE ÜNİVERSİTESİ,İstanbul,71.33,66.12,66.7,1.06,64.92,270.14
147,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Sakarya,74.33,49.47,35.85,58.06,50.62,268.32
148,İBN HALDUN ÜNİVERSİTESİ,İstanbul,23.63,44.45,23.19,95.82,79.12,266.21
149,TÜRK-ALMAN ÜNİVERSİTESİ,İstanbul,82.59,63.93,51.37,21.63,46.13,265.66
150,SANKO ÜNİVERSİTESİ,Gaziantep,68.79,45.3,63.1,2.05,83,262.23
151,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İstanbul,46.68,52.11,41.76,108.62,11.86,261.02
152,KIRKLARELİ ÜNİVERSİTESİ,Kırklareli,76.49,67.96,55.69,8.94,39.85,248.93
153,ŞIRNAK ÜNİVERSİTESİ,Şırnak,48.81,48.1,54.25,22.24,75.36,248.77
154,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,İstanbul,66.41,76.7,67.31,37.45,0.1,247.96
155,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,Malaya,60.8,32.56,24.05,28.16,100,245.56
156,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,İstanbul,38.14,56.77,54.21,27.4,65.57,242.09
157,MEF ÜNİVERSİTESİ,İstanbul,74.05,62.34,69.61,0.2,35.23,241.43
158,UFUK ÜNİVERSİTESİ,Ankara,34.16,59.19,70.94,5.78,71.25,241.33
159,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,Ankara,33.23,30.37,27.55,74.41,75.17,240.73
160,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,Ankara,24.54,27,19.51,135.57,30.37,237
161,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,Antalya,66.18,49.15,50.64,15.6,49.28,230.85
162,İSTANBUL GEDİK ÜNİVERSİTESİ,İstanbul,49.71,35.7,36.62,56.96,48.61,227.6
163,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Afyon,62.97,29.33,28.79,14.69,80.75,216.53
164,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İstanbul,26.81,41.54,30.72,77.86,37.54,214.48
165,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,Balıkesir,48.73,48.77,34.27,29.68,43.9,205.34
166,MARDİN ARTUKLU ÜNİVERSİTESİ,Mardin,48.92,49.56,40.98,21.16,41.72,202.35
167,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Kütahya,41.17,26.35,27.32,17.52,83.93,196.29
168,TOROS ÜNİVERSİTESİ,Mersin,36.46,53.98,36.61,14.05,50.2,191.31
169,HALİÇ ÜNİVERSİTESİ,İstanbul,39.01,43.91,38.78,43.57,19.61,184.89
170,NUH NACİ YAZGAN ÜNİVERSİTESİ,Kayseri,48.12,38.68,41.63,0.2,46.32,174.94
171,AVRASYA ÜNİVERSİTESİ,Trabzon,32.19,32.87,21.35,24.19,48.53,159.13
172,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,Alanya,35.78,25.55,10.96,0.2,82.72,155.21
173,NİŞANTAŞI ÜNİVERSİTESİ,İstanbul,33.06,39.91,30.71,9.5,36.2,149.38
174,TRABZON ÜNİVERSİTESİ,Trabzon,23.8,16.19,12.13,58.92,37.37,148.41
175,İSTANBUL RUMELİ ÜNİVERSİTESİ,İstanbul,16.52,23.29,12.24,0.2,81.46,133.72
176,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İstanbul,0.2,0.2,1.74,64.94,57.81,124.88
177,İSTANBUL ESENYURT ÜNİVERSİTESİ,İstanbul,4.34,32.23,20.14,0.2,47.89,104.8
178,SAMSUN ÜNİVERSİTESİ,Samsun,12.17,17.52,0.57,0.2,61.82,92.28
179,BEYKOZ ÜNİVERSİTESİ,İstanbul,5.79,12.68,2.9,0.2,57.86,79.43
