rank,name,sehir,article,citation,total_document,phd_score,faculty,total
1,HACETTEPE ÜNİVERSİTESİ,Ankara,164.16,173.41,174.99,191.06,56.94,760.57
2,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Ankara,172.16,170.42,185.13,182.3,35.76,745.77
3,KOÇ ÜNİVERSİTESİ,İstanbul,181.45,173.68,178.1,136.5,66.71,736.45
4,İSTANBUL TEKNİK ÜNİVERSİTESİ,İstanbul,167.88,162.64,175.39,172.83,41.97,720.72
5,İSTANBUL ÜNİVERSİTESİ,İstanbul,135.19,166.83,169.99,198.27,49.25,719.52
6,ANKARA ÜNİVERSİTESİ,Ankara,153.23,150.59,158.68,200,45.92,708.42
7,GAZİ ÜNİVERSİTESİ,Ankara,143.71,146.51,155.24,193.29,58.77,697.52
8,EGE ÜNİVERSİTESİ,İzmir,145.22,145.88,152.65,166.06,57.36,667.16
9,SABANCI ÜNİVERSİTESİ,İstanbul,163.48,163.57,164.55,107.58,56.11,655.28
10,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,Ankara,159.52,183.76,169.65,100.05,41.96,654.93
11,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,İstanbul,140.01,140.86,142,155.21,65.79,643.86
12,YILDIZ TEKNİK ÜNİVERSİTESİ,İstanbul,154.39,146.8,151.27,156.48,34.81,643.75
13,BOĞAZİÇİ ÜNİVERSİTESİ,İstanbul,146.76,150.15,170.65,130.27,44.43,642.25
14,GEBZE TEKNİK ÜNİVERSİTESİ,Kocaeli,153.03,146.7,146.62,136.91,52.4,635.66
15,MARMARA ÜNİVERSİTESİ,İstanbul,133.65,137.53,143.2,173.99,42.5,630.87
16,ATATÜRK ÜNİVERSİTESİ,Erzurum,136.63,141.72,134.78,158.06,58.23,629.42
17,DOKUZ EYLÜL ÜNİVERSİTESİ,İzmir,133.64,143.63,141.91,143.68,50.29,613.16
18,ERCİYES ÜNİVERSİTESİ,Kayseri,140.06,142.16,140.59,146.05,41.41,610.28
19,SELÇUK ÜNİVERSİTESİ,Konya,135.04,135.54,137.64,142.15,51.27,601.64
20,ÇUKUROVA ÜNİVERSİTESİ,Adana,131.57,132.93,143.91,140.81,48.13,597.35
21,KARADENİZ TEKNİK ÜNİVERSİTESİ,Trabzon,129.89,140.38,136.09,131.87,58.65,596.87
22,FIRAT ÜNİVERSİTESİ,Elazığ,139.06,141.52,136.35,121.12,56.62,594.67
23,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,İzmir,133.46,138.1,154.23,109.88,48.85,584.52
24,ÇANKAYA ÜNİVERSİTESİ,Ankara,174.13,178.27,145.88,40.29,34.62,573.2
25,AKDENİZ ÜNİVERSİTESİ,Antalya,127.51,129.53,132,119.57,50.65,559.26
26,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,Eskişehir,120.23,127.76,126.44,125.86,57.04,557.33
27,BURSA ULUDAĞ ÜNİVERSİTESİ,Bursa,122.03,127.99,130,130.87,41.8,552.69
28,ONDOKUZ MAYIS ÜNİVERSİTESİ,Samsun,124.43,123.7,129.28,125.47,49.34,552.22
29,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,Isparta,115.81,126.42,123.82,133.09,47.05,546.2
30,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,İstanbul,115.47,129.55,149.48,61.43,88.81,544.74
31,İNÖNÜ ÜNİVERSİTESİ,Malatya,111.37,119.96,124.11,135.95,51.31,542.69
32,ANADOLU ÜNİVERSİTESİ,Eskişehir,81.37,129.31,118.57,155.74,49.97,534.96
33,SAKARYA ÜNİVERSİTESİ,Sakarya,99.98,128.37,124.69,135.47,40.77,529.29
34,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İstanbul,119.2,113.33,128.89,71.16,93.45,526.02
35,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,Ankara,108.84,108.12,119.03,134.5,54.31,524.8
36,KOCAELİ ÜNİVERSİTESİ,Kocaeli,120.18,121.32,125.06,115.42,40.25,522.24
37,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,Van,115.09,121.02,118.21,97.89,68.58,520.78
38,GAZİANTEP ÜNİVERSİTESİ,Gaziantep,110.39,124.67,131.38,107.93,41.34,515.7
39,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İzmir,119.94,119.34,131.44,77.56,61.37,509.66
40,ABDULLAH GÜL ÜNİVERSİTESİ,Kayseri,128.29,147.53,113.9,62.89,54.27,506.88
41,PAMUKKALE ÜNİVERSİTESİ,Denizli,108.58,121.9,118.27,101.26,51.55,501.56
42,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İstanbul,111.72,75.7,129.9,76.08,98.83,492.24
