rank,rank_display,name,city,overall_score,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Research Network,International Faculty Ratio,Sustainability Score
285,=285,Middle East Technical University,Ankara,37.2,31.2,22.3,9,70.2,77.5,18.3,74.7,12,69.5
327,=326,Istanbul Technical University,Istanbul,34,27,17,9.7,67.2,69.1,19.8,76.1,8.3,70.3
402,=401,Koç University,Istanbul,29.6,24.3,32.4,19.1,54.6,6.8,13,51.6,24.7,34.8
418,=418,Boğaziçi University,Istanbul,28.5,24.9,10.7,4.1,65.3,84.9,2.6,46.8,10.7,46.2
478,=477,Bilkent University,Ankara,25.1,24,15.2,13.3,52.1,19.3,3.7,38.3,61.4,10.6
520,=516,Sabanci University,Istanbul,23.6,19.5,19.4,38.2,44.6,7.2,14.2,25.9,32,7.9
626,621-630,Istanbul University,Istanbul,n/a,28.1,3.5,2.8,25.3,72.8,9.9,68.8,5.3,1.7
647,641-650,Hacettepe University,Ankara,n/a,22.5,7.1,10.8,29.4,22.2,3.5,72.1,4,34.8
805,801-850,Ankara Üniversitesi,Ankara,n/a,20.2,2.6,7.8,16.8,53.5,4.6,70.6,2.3,2.9
901,851-900,Yildiz Technical University,Istanbul,n/a,9.7,12.2,4.2,24.7,19.9,18.5,38.9,9.1,35.1
907,901-950,Gazi Üniversitesi,Ankara,n/a,18.6,4.4,6,15.3,18.2,3.3,56,1,20.1
1030,1001-1200,EGE UNIVERSITY,İzmir,n/a,10,3.2,15.8,13.6,2.1,7.8,68.6,1.3,1.4
1033,1001-1200,Gebze Technical University (GTU),Gebze,n/a,4.5,18.5,7.8,3.4,2.3,3.8,37.3,6.2,3.8
1060,1001-1200,Marmara University,Istanbul,n/a,8.1,2.4,4.4,11.4,23.9,4.2,45.3,2.9,2.7
1205,1201-1400,Anadolu University,Eskişehir,n/a,4.9,2.6,13.1,3.9,13.9,2.9,17.5,1.8,1
1207,1201-1400,Ataturk University,Erzurum,n/a,5.8,4.4,2.9,2.3,7.8,7.4,39.4,3.2,1.1
1224,1201-1400,Cukurova University,Adana,n/a,4.9,2.6,5.2,3.8,7.6,3.3,46.2,1.9,2.9
1227,1201-1400,Dokuz Eylul Universitesi,Izmir,n/a,6.8,2.1,3.5,7.8,6,10.7,34.7,2.5,18.8
1229,1201-1400,Erciyes University,Kayseri,n/a,4.4,5.3,2,3,1.7,5.7,45.1,3.1,8.8
1242,1201-1400,Istanbul Aydin University,Istanbul,n/a,4.9,1.4,12.3,3,2.1,52.1,7.3,6.7,1.1
1243,1201-1400,İstanbul Bilgi University,Istanbul,n/a,4.9,1.7,13.3,4.3,13.3,20.2,6.5,3.5,2.2
1245,1201-1400,Izmir Institute of Technology (IZTECH),Izmir,n/a,7.2,8.2,5.8,4.4,2.1,2.1,15.5,3.2,1.6
1402,1401+,Akdeniz Üniversitesi,Antalya,n/a,5.7,3,3.5,4.8,2,1.1,33.7,1.2,1
1430,1401+,Sakarya University,Adapazari,n/a,4.6,3.3,3.1,3.1,1.9,11.3,27.6,1.4,2.7
