rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
401–500,Cankaya University,39.8–43.5,15.1,11.6,100.0,35.0,43.2
401–500,Koç University,39.8–43.5,29.8,37.4,49.4,63.6,49.5
501–600,Hacettepe University,36.4–39.7,26.4,13.2,73.7,36.0,24.4
501–600,Sabancı University,36.4–39.7,26.4,36.9,46.1,89.8,53.6
601–800,Bilkent University,30.2–36.3,24.5,21.6,50.3,53.6,63.9
601–800,Boğaziçi University,30.2–36.3,24.4,21.8,44.7,56.1,40.7
601–800,Ozyegin University,30.2–36.3,16.7,11.4,57.8,34.2,49.0
801–1000,Istanbul University,25.1–30.1,25.4,23.7,32.5,45.2,29.3
801–1000,Istanbul Technical University,25.1–30.1,24.5,28.2,28.1,100.0,26.8
801–1000,Karabük University,25.1–30.1,18.7,7.7,45.9,35.1,36.1
801–1000,Middle East Technical University,25.1–30.1,30.0,22.4,32.6,59.7,33.0
1001+,Acıbadem University,10.3–25.0,22.7,10.1,6.9,35.6,21.7
1001+,Akdeniz University,10.3–25.0,21.6,9.7,12.6,34.9,19.4
1001+,Aksaray University,10.3–25.0,11.7,8.5,23.6,34.1,21.6
1001+,Anadolu University,10.3–25.0,13.5,23.6,21.2,100.0,17.7
1001+,Ankara University,10.3–25.0,17.9,10.8,18.0,34.8,24.8
1001+,Atatürk University,10.3–25.0,18.5,15.4,35.2,35.1,18.1
1001+,Atılım University,10.3–25.0,16.3,8.3,32.7,34.5,37.0
1001+,Bahçeşehir University,10.3–25.0,19.3,17.5,22.2,46.3,43.6
1001+,Başkent University,10.3–25.0,16.0,12.9,4.5,33.4,18.2
1001+,Bezmiâlem Vakif University,10.3–25.0,29.6,11.5,30.0,35.1,21.0
1001+,Bolu Abant Izzet Baysal University,10.3–25.0,15.6,8.2,14.9,33.4,19.3
1001+,Cukurova University,10.3–25.0,17.1,9.8,17.7,56.6,19.9
1001+,Dokuz Eylül University,10.3–25.0,15.6,9.6,25.3,42.0,18.9
1001+,Duzce University,10.3–25.0,18.6,10.8,20.6,59.5,18.2
1001+,Ege University,10.3–25.0,21.7,14.1,14.4,36.2,20.5
1001+,Erciyes University,10.3–25.0,21.5,17.3,17.1,94.1,21.5
1001+,Eskişehir Osmangazi University,10.3–25.0,15.6,8.4,15.7,33.5,18.5
1001+,Gazi University,10.3–25.0,20.5,17.6,16.2,96.9,16.9
1001+,Gaziantep University,10.3–25.0,16.3,8.1,18.2,33.6,29.0
1001+,Gebze Technical University,10.3–25.0,19.1,13.1,20.3,37.8,27.2
1001+,Istanbul Medipol University,10.3–25.0,13.5,9.4,12.5,35.6,23.5
1001+,Izmir Institute of Technology,10.3–25.0,17.6,10.5,23.6,41.4,28.9
1001+,Marmara University,10.3–25.0,16.8,8.5,21.4,33.4,24.4
1001+,Ondokuz Mayis University,10.3–25.0,15.7,8.8,7.9,37.2,27.5
1001+,Recep Tayyip Erdoğan University,10.3–25.0,15.4,8.6,8.2,33.4,18.4
1001+,Sakarya University,10.3–25.0,14.0,9.0,17.6,35.1,20.9
1001+,Selçuk University,10.3–25.0,15.6,8.4,24.6,33.8,21.5
1001+,Süleyman Demirel University,10.3–25.0,16.7,8.4,15.8,33.6,19.1
1001+,TOBB University of Economics and Technology,10.3–25.0,17.8,10.6,24.0,37.6,25.9
1001+,Tokat Gaziosmanpaşa University,10.3–25.0,15.1,7.7,20.7,33.5,18.5
1001+,Yeditepe University,10.3–25.0,17.6,11.8,10.6,68.2,21.5
1001+,Yildiz Technical University,10.3–25.0,18.0,24.9,21.1,52.8,22.2
