rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
351–400,Koç University,49.1–51.0,31.8,40.5,68.9,91.9,57.4
351–400,Middle East Technical University,49.1–51.0,44.2,43.1,53.6,81.9,56.0
351–400,Sabancı University,49.1–51.0,31.7,37.9,69.5,90.2,66.6
501–600,Istanbul Technical University,41.9–45.3,35.8,36.6,51.8,87.3,45.8
601–800,Bilkent University,37.0–41.8,27.8,26.0,48.8,91.4,70.0
601–800,Boğaziçi University,37.0–41.8,26.1,26.6,57.4,59.6,50.6
601–800,Cankaya University,37.0–41.8,14.0,15.4,83.4,17.0,51.0
601–800,Hacettepe University,37.0–41.8,32.5,26.8,50.4,73.5,27.5
801–1000,Bahçeşehir University,32.7–36.9,19.5,24.4,59.4,39.6,61.2
801–1000,Ozyegin University,32.7–36.9,16.3,23.9,53.5,58.0,57.7
801–1000,Yildiz Technical University,32.7–36.9,32.1,28.0,41.2,64.1,40.9
1001–1200,Akdeniz University,28.3–32.6,22.7,27.3,42.6,54.7,25.2
1001–1200,Bartin University,28.3–32.6,11.1,13.0,69.6,16.3,37.4
1001–1200,Firat University,28.3–32.6,19.2,10.3,64.5,19.7,31.5
1001–1200,Istanbul University,28.3–32.6,23.5,22.0,34.4,50.9,38.2
1001–1200,Istanbul University-Cerrahpaşa,28.3–32.6,26.0,24.1,41.7,59.8,26.9
1001–1200,Necmettin Erbakan University,28.3–32.6,37.2,14.1,39.0,21.4,38.7
1001–1200,TOBB University of Economics and Technology,28.3–32.6,17.9,14.3,48.2,48.8,40.5
1201–1500,Anadolu University,22.8–28.2,22.3,11.8,41.2,22.0,32.7
1201–1500,Atatürk University,22.8–28.2,19.1,16.7,45.0,24.5,25.5
1201–1500,Atılım University,22.8–28.2,18.4,9.7,38.4,36.7,45.3
1201–1500,Bezmiâlem Vakif University,22.8–28.2,30.4,11.9,26.9,21.6,27.2
1201–1500,Cukurova University,22.8–28.2,23.8,23.4,26.2,26.7,28.9
1201–1500,Dokuz Eylül University,22.8–28.2,19.4,18.2,25.5,67.1,25.5
1201–1500,Duzce University,22.8–28.2,15.5,19.9,44.7,50.7,30.2
1201–1500,Ege University,22.8–28.2,32.7,16.7,30.4,63.4,25.7
1201–1500,Erciyes University,22.8–28.2,20.9,16.1,36.1,57.0,29.3
