rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
401–500,Cankaya University,42.1–44.9,15.5,13.2,100.0,37.7,46.7
401–500,Koç University,42.1–44.9,30.7,42.3,56.1,100.0,49.3
401–500,Sabancı University,42.1–44.9,25.5,37.7,57.0,73.4,59.7
501–600,Middle East Technical University,39.3–42.0,37.5,42.4,35.4,99.9,44.6
601–800,Bahçeşehir University,34.0–39.2,19.3,20.9,62.3,51.9,49.5
601–800,Hacettepe University,34.0–39.2,29.0,26.1,51.9,89.1,25.7
601–800,Istanbul Technical University,34.0–39.2,31.9,35.5,29.1,100.0,42.6
801–1000,Bilkent University,29.8–33.9,23.4,24.2,43.5,55.3,63.7
801–1000,Boğaziçi University,29.8–33.9,24.4,24.6,39.8,54.1,41.8
801–1000,Duzce University,29.8–33.9,20.4,14.6,56.7,83.5,26.6
801–1000,Firat University,29.8–33.9,15.6,9.0,74.6,37.0,25.1
801–1000,Istanbul Medeniyet University,29.8–33.9,17.7,9.9,66.4,37.0,22.7
801–1000,Ozyegin University,29.8–33.9,17.2,20.1,46.6,41.2,48.8
1001–1200,Atılım University,24.4–29.7,17.0,9.0,52.7,37.3,40.7
1001–1200,Istanbul University,24.4–29.7,22.1,20.8,32.4,48.3,31.5
1001–1200,Istanbul University-Cerrahpaşa,24.4–29.7,17.1,12.1,52.6,45.3,21.3
1001–1200,Necmettin Erbakan University,24.4–29.7,33.7,12.7,26.9,39.6,31.5
1001–1200,Sakarya University,24.4–29.7,21.2,11.3,46.2,54.2,27.3
1001–1200,Yildiz Technical University,24.4–29.7,25.7,26.7,29.3,100.0,32.0
1201–1500,Acıbadem University,18.4–24.3,22.4,11.4,18.0,38.7,24.9
1201–1500,Akdeniz University,18.4–24.3,15.5,10.8,27.8,38.1,19.7
1201–1500,Anadolu University,18.4–24.3,23.1,11.3,32.9,40.5,22.9
1201–1500,Ankara University,18.4–24.3,18.8,11.0,25.6,37.7,27.4
1201–1500,Atatürk University,18.4–24.3,18.8,14.0,37.2,37.3,20.4
1201–1500,Bezmiâlem Vakif University,18.4–24.3,27.7,10.7,27.2,41.0,24.3
1201–1500,Bozok University,18.4–24.3,13.8,8.7,30.2,38.4,27.7
1201–1500,Dokuz Eylül University,18.4–24.3,18.4,13.3,20.9,95.8,21.7
1201–1500,Ege University,18.4–24.3,21.8,13.3,19.0,46.7,24.1
1201–1500,Erciyes University,18.4–24.3,20.0,14.1,23.7,68.9,24.1
1201–1500,Gazi University,18.4–24.3,27.5,16.2,23.0,92.7,18.9
1201–1500,Gebze Technical University,18.4–24.3,20.5,14.4,22.1,44.1,25.5
1201–1500,Istanbul Medipol University,18.4–24.3,14.1,9.5,28.2,38.0,34.8
1201–1500,Karabük University,18.4–24.3,13.1,8.8,37.2,37.2,42.6
1201–1500,Marmara University,18.4–24.3,18.3,10.0,24.1,40.4,26.3
1201–1500,Selçuk University,18.4–24.3,17.9,13.0,32.5,78.0,28.6
1201–1500,TOBB University of Economics and Technology,18.4–24.3,19.0,11.4,30.3,39.0,27.6
1201–1500,Tokat Gaziosmanpaşa University,18.4–24.3,15.7,8.0,30.5,37.3,28.5
1501+,Aksaray University,10.4–18.3,12.7,8.5,22.2,37.2,24.8
1501+,Başkent University,10.4–18.3,16.7,11.2,6.0,36.9,22.3
1501+,Bolu Abant Izzet Baysal University,10.4–18.3,15.6,8.5,23.2,37.1,23.0
1501+,Bursa Uludağ University,10.4–18.3,16.3,10.1,15.0,43.1,28.3
1501+,Cukurova University,10.4–18.3,17.3,9.8,18.9,39.9,23.3
1501+,Dicle University,10.4–18.3,19.5,8.4,10.9,37.1,17.7
1501+,Kütahya Dumlupınar University,10.4–18.3,12.0,8.9,31.0,40.1,23.4
1501+,Erzincan Binali Yıldırım University,10.4–18.3,13.6,8.2,31.5,36.9,18.3
1501+,Eskişehir Osmangazi University,10.4–18.3,17.4,14.8,17.1,37.2,19.8
1501+,Gaziantep University,10.4–18.3,16.6,9.8,21.5,36.9,31.1
1501+,Inönü University,10.4–18.3,24.6,8.4,15.5,36.9,17.6
1501+,Izmir Institute of Technology,10.4–18.3,17.2,10.9,15.5,40.6,29.5
1501+,Karadeniz Technical University,10.4–18.3,14.3,9.5,19.7,40.0,19.6
1501+,Kirikkale University,10.4–18.3,17.4,17.6,16.2,36.9,17.1
1501+,Kocaeli University,10.4–18.3,13.4,8.8,14.4,39.2,22.4
1501+,Manisa Celal Bayar University,10.4–18.3,14.2,7.8,24.4,36.9,18.2
1501+,Ondokuz Mayis University,10.4–18.3,16.1,10.5,16.9,43.8,33.6
1501+,Recep Tayyip Erdoğan University,10.4–18.3,15.6,8.8,16.9,37.1,20.1
1501+,Sivas Cumhuriyet University,10.4–18.3,18.2,9.3,17.8,37.3,21.1
1501+,Süleyman Demirel University,10.4–18.3,15.8,9.1,23.2,37.3,22.9
1501+,Uşak University,10.4–18.3,12.3,10.0,10.5,39.1,28.2
1501+,Van Yüzüncü Yil University,10.4–18.3,17.4,22.7,10.4,61.0,19.4
1501+,Yeditepe University,10.4–18.3,18.8,12.2,10.5,65.7,29.6
1501+,Zonguldak Bülent Ecevit University,10.4–18.3,13.2,8.2,23.5,38.9,23.1
Reporter,Abdullah Gül University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Altınbaş University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Ankara Science University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Bandirma Onyedi Eylül University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Bartin University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Beykent University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Bilecik Şeyh Edebali University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Biruni University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Doğuş University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Istanbul Aydın University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Istanbul Gelisim University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Kadir Has University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Kastamonu University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Kocaeli Health and Technology University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Konya Technical University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,KTO Karatay University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Tarsus University,n/a,n/a,n/a,n/a,n/a,n/a
Reporter,"University of Health Sciences, Turkey",n/a,n/a,n/a,n/a,n/a,n/a
Reporter,Üsküdar University,n/a,n/a,n/a,n/a,n/a,n/a
