rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
251-300,Koç University,0,21.2,27.1,74.9,82.4,53.5
351-400,Bilkent University,0,23.5,18.6,64.1,36.4,47.5
351-400,Sabancı University,0,22.3,32.3,52.8,70,42.7
401-500,Boğaziçi University,0,21.9,19.2,45.4,57.1,38.3
501-600,Istanbul Technical University,0,19.2,25.8,26.5,72.1,22.9
501-600,Middle East Technical University,0,29.9,17.3,28.8,60,26.7
601-800,Anadolu University,0,12.2,22.6,10.9,100,14.3
601-800,Erciyes University,0,15.5,10.9,18,30.3,17.2
601-800,Hacettepe University,0,21,11.8,19.7,28.2,19.6
601-800,Istanbul University,0,26,23.3,10,100,20
601-800,Yildiz Technical University,0,14.5,7.6,19.3,44,14.9
