rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
251-300,Koç University,43.5—46.2,25.2,29.8,70.3,81.9,54.4
301-350,Sabancı University,40.7—43.3,24.3,32.9,61.6,77.7,46.7
351-400,Bilkent University,37.6—40.6,23.4,19.9,68.3,39.7,51.9
401-500,Atılım University,32.6—37.5,19.0,8.1,75.3,47.9,33.2
401-500,Boğaziçi University,32.6—37.5,20.9,23.8,57.7,57.4,45.4
501-600,Istanbul Technical University,27.6—32.5,24.0,24.6,32.4,100.0,24.8
601-800,Hacettepe University,18.6—27.5,20.3,10.5,36.5,32.6,21.9
601-800,Istanbul University,18.6—27.5,22.5,23.6,11.8,52.4,22.2
601-800,Middle East Technical University,18.6—27.5,27.3,19.5,31.4,58.8,27.8
601-800,TOBB University of Economics and Technology,18.6—27.5,13.6,10.6,28.3,32.4,30.1
601-800,Izmir Institute of Technology,18.6—27.5,17.7,9.0,25.2,42.5,29.2
801+,Anadolu University,8.3—18.5,10.9,8.9,15.3,39.3,15.1
801+,Ankara University,8.3—18.5,18.0,5.3,10.4,32.6,18.8
801+,Erciyes University,8.3—18.5,15.4,10.1,26.6,37.1,19.8
801+,Gazi University,8.3—18.5,17.5,9.1,9.6,36.8,14.5
801+,Marmara University,8.3—18.5,14.8,3.2,10.4,32.1,19.8
801+,Yildiz Technical University,8.3—18.5,13.6,8.1,22.5,44.7,18.5
