rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
351–400,Sabancı University,41.7–43.9,27.3,35.6,56.3,95.5,48.4
401–500,Koç University,37.1–41.6,25.6,32.8,55.1,79.4,53.8
501–600,Bilkent University,33.5–37.0,22.2,21.7,59.4,39.5,61.0
501–600,Boğaziçi University,33.5–37.0,21.8,22.5,56.1,60.3,46.0
501–600,Hacettepe University,33.5–37.0,32.6,11.4,58.8,35.8,24.4
601–800,Istanbul Technical University,26.0–33.4,23.6,27.1,32.9,100.0,26.1
601–800,Middle East Technical University,26.0–33.4,26.4,21.0,28.3,66.4,29.9
801–1000,Anadolu University,19.0–25.9,11.6,23.9,17.5,100.0,16.4
801–1000,Atılım University,19.0–25.9,14.3,9.3,38.7,35.6,33.0
801–1000,Erciyes University,19.0–25.9,16.4,14.7,22.1,85.8,21.7
801–1000,Gebze Technical University,19.0–25.9,24.1,11.9,26.8,35.8,28.1
801–1000,Istanbul University,19.0–25.9,22.1,16.6,19.1,51.3,27.3
1001+,Akdeniz University,9.8–18.9,13.6,14.3,16.5,96.5,19.6
1001+,Ankara University,9.8–18.9,18.1,9.6,11.6,34.6,21.7
1001+,Bahçeşehir University,9.8–18.9,15.3,12.3,18.5,41.1,40.6
1001+,Cukurova University,9.8–18.9,14.4,12.4,11.2,87.6,19.1
1001+,Dokuz Eylül University,9.8–18.9,14.7,8.9,16.4,40.3,17.6
1001+,Gazi University,9.8–18.9,19.1,10.7,12.9,38.4,16.2
1001+,Izmir Institute of Technology,9.8–18.9,15.8,10.3,25.3,41.9,30.2
1001+,Marmara University,9.8–18.9,13.5,7.3,18.4,34.0,22.2
1001+,Ondokuz Mayis University,9.8–18.9,14.1,8.3,4.9,37.5,20.3
1001+,TOBB University of Economics and Technology,9.8–18.9,15.2,10.9,27.1,34.7,25.4
1001+,Yeditepe University,9.8–18.9,14.6,9.8,10.1,49.7,22.1
