rank,name,sehir,article,citation,total_document,phd_score,faculty,international_collaboration,domestic_collaboration,tubitak,total
1,KOÇ ÜNİVERSİTESİ,İstanbul,180.6616935,182.9668481,181.2228674,134.7367253,62.24774813,108.7732554,67.04900085,180.0760549,1097.734193
2,HACETTEPE ÜNİVERSİTESİ,Ankara,170.4315357,173.974184,179.9806597,183.6167727,53.75343354,97.43175697,68.7881043,155.2859173,1083.262364
3,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Ankara,156.9598108,171.4171605,178.8368932,177.1551771,30.61289647,98.59384552,62.63705595,193.2054632,1069.418303
4,İSTANBUL ÜNİVERSİTESİ,İstanbul,145.5488996,164.6517724,171.1355195,199,48.52780455,92.00560962,68.15111196,130.9109949,1019.931713
5,İSTANBUL TEKNİK ÜNİVERSİTESİ,İstanbul,150.654014,162.0227569,171.246958,174.6553805,39.92512586,93.14522867,59.28917305,162.4281431,1013.36678
6,ANKARA ÜNİVERSİTESİ,Ankara,149.3621639,154.829629,163.5167109,200,43.51718892,90.39216633,64.94162179,146.1183516,1012.677832
7,SABANCI ÜNİVERSİTESİ,İstanbul,164.8453055,175.3304486,164.3095816,114.3125446,53.17685164,104.9109047,43.6702253,167.35287,987.9087319
8,GAZİ ÜNİVERSİTESİ,Ankara,144.9908471,151.0421973,160.8888475,195.281926,59.99615731,80.50514608,70.32860896,115.0975028,978.1312331
9,EGE ÜNİVERSİTESİ,İzmir,140.9643966,147.9452505,155.2308898,159.8955189,58.1691053,84.85785635,59.27617511,160.6582811,966.9974737
10,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,Ankara,144.7817783,173.5171206,162.5785973,101.2297117,40.65693865,99.23298334,45.94798825,177.0046563,944.9497745
11,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,İstanbul,146.0932783,150.7274866,150.0229357,162.9634554,69.51130073,81.18941723,63.33839809,88.48430145,912.3305734
12,GEBZE TEKNİK ÜNİVERSİTESİ,Kocaeli,136.5104691,147.2906919,143.4878108,127.7429395,48.58176992,79.64180255,57.65276564,168.628408,909.5366574
13,YILDIZ TEKNİK ÜNİVERSİTESİ,İstanbul,141.4847242,149.9735605,153.1901484,158.8885478,27.48624696,77.2460319,59.28888881,124.5244864,892.0826351
14,BOĞAZİÇİ ÜNİVERSİTESİ,İstanbul,130.5956952,150.8738838,163.7973279,121.0605804,42.31239684,91.37667587,44.86989603,140.259641,885.1460971
15,MARMARA ÜNİVERSİTESİ,İstanbul,132.3201886,140.7892299,145.6200104,169.6038662,45.45627954,80.89353468,55.7588852,114.3159106,884.7579051
16,DOKUZ EYLÜL ÜNİVERSİTESİ,İzmir,133.0648314,142.699911,145.1146068,141.203809,49.17162638,78.84750781,57.33339117,133.0052993,880.4409828
17,ERCİYES ÜNİVERSİTESİ,Kayseri,137.3914946,142.579474,145.1971642,145.9062632,40.88936382,77.10623098,59.78036658,129.4755982,878.3259555
18,ATATÜRK ÜNİVERSİTESİ,Erzurum,133.6266054,144.4122017,138.3341898,157.3026712,55.32921616,73.59194408,58.22956355,114.4633862,875.2897782
19,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,İzmir,125.1397688,133.0564881,147.8163135,111.8256424,47.83491495,73.57878333,44.03748476,173.0669682,856.356364
20,FIRAT ÜNİVERSİTESİ,Elazığ,135.6471765,149.5753607,140.5715915,119.3820875,58.79716211,79.50352388,55.13102997,113.1045411,851.7124733
21,KARADENİZ TEKNİK ÜNİVERSİTESİ,Trabzon,123.8498114,137.2515676,138.7334302,127.0492775,59.83198857,70.53871715,56.49755137,136.4516789,850.2040226
22,SELÇUK ÜNİVERSİTESİ,Konya,134.3292837,139.9193727,141.893331,140.1084866,49.23094442,77.82150507,57.69614116,105.5322974,846.531362
23,ÇUKUROVA ÜNİVERSİTESİ,Adana,130.1721928,134.4172942,149.0706837,135.3205819,47.56117582,75.09730109,58.2743737,103.9271297,833.8407329
24,AKDENİZ ÜNİVERSİTESİ,Antalya,129.5597638,132.3505006,136.5025227,122.0683322,49.20331756,72.16377257,53.33994629,128.2429862,823.4311419
25,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,İstanbul,126.1314063,141.8327075,159.9404148,70.43720787,91.75912809,66.5821017,67.61214412,82.32863034,806.6237407
26,ONDOKUZ MAYIS ÜNİVERSİTESİ,Samsun,123.5991681,127.8564322,132.0383203,136.0499922,49.09791351,72.33640665,52.87215134,110.0681921,803.9185765
27,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İstanbul,125.2011653,124.8949261,138.5931666,73.18610696,91.97760232,72.47938383,66.76623539,103.9754074,797.0739938
28,BURSA ULUDAĞ ÜNİVERSİTESİ,Bursa,119.7214189,129.6276152,129.684895,138.2,40.80958336,74.36430887,48.15878067,115.4890848,796.0556868
28,SAKARYA ÜNİVERSİTESİ,Sakarya,120.9588075,134.4360532,130.8579427,135.0017834,39.52266578,68.03294116,51.45938345,108.5602649,788.8298421
29,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,Eskişehir,123.2745306,129.7113915,131.2379044,127.7643107,55.91895168,67.8798471,53.68636796,98.56076381,788.0340676
30,İNÖNÜ ÜNİVERSİTESİ,Malatya,119.0344084,124.1851103,128.8796703,140.6077299,53.51033444,58.35016614,55.02287444,90.54076649,770.1310604
31,ÇANKAYA ÜNİVERSİTESİ,Ankara,161.1967791,181.192378,158.7217424,30.62372124,32.16295674,106.0850825,37.41997774,61.40098916,768.8036268
32,KOCAELİ ÜNİVERSİTESİ,Kocaeli,120.0930971,124.698944,128.7620224,120.4317945,40.54721519,68.7340528,49.39828579,110.4955257,763.1609374
33,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,Isparta,108.6432407,126.7208529,123.1294862,131.9786321,48.91302222,66.16660394,48.86513064,107.6204797,762.0374484
34,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,Ankara,117.495434,117.4234295,127.6298461,134.6816506,50.39524202,60.30615691,62.0246105,85.53200209,755.4883717
35,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İzmir,123.911115,122.5088872,137.45694,83.42340655,59.40393318,63.36084655,66.6396591,93.23126333,749.936051
36,İSTANBUL MEDENİYET ÜNİVERSİTESİ,İstanbul,126.1664788,136.29882,133.3236492,84.55810286,50.48038061,69.49716669,59.53796528,86.23327698,746.0958404
37,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İstanbul,147.7607647,114.8126154,152.8191855,87.14655011,100,55.7600292,68.42331821,15.36877576,742.0912389
38,ANADOLU ÜNİVERSİTESİ,Eskişehir,80.33318278,128.7963917,116.3704341,153.1068458,50.65624591,64.02132158,43.29674775,97.56873828,734.1499079
39,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,Van,110.5261569,122.8927024,120.5892687,107.3461069,68.78398357,65.26591177,48.20420998,84.6373329,728.245673
40,Bu üniversite 28A'ya taşınmıştır.,Bursa,0,0,0,0,0,0,0,0,0
41,GAZİANTEP ÜNİVERSİTESİ,Gaziantep,111.22597,126.099118,131.9932732,105.0758698,42.29638029,65.36999213,51.83490833,91.29275101,725.1882627
42,MERSİN ÜNİVERSİTESİ,Mersin,112.0635736,120.5668389,126.6871403,103.7816564,46.17224195,63.76725178,48.30261871,97.06643553,718.4077571
43,ABDULLAH GÜL ÜNİVERSİTESİ,Kayseri,115.4421474,141.0679524,115.7354362,61.48615748,43.26126371,67.78154294,42.9577124,129.0617885,716.794001
44,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bolu,108.2828717,120.7266671,113.5098427,101.7428377,54.86734531,65.2865985,44.52951584,106.5590854,715.5047642
45,İSTANBUL MEDİPOL ÜNİVERSİTESİ,İstanbul,110.8239544,117.0756883,119.1854332,87.95205915,39.61235533,70.18572372,49.98643521,117.9821935,712.8038428
46,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,Ankara,103.6221392,117.1984257,134.5834118,60.137105,56.58093366,68.6383088,46.35650516,120.78182,707.8986495
47,PAMUKKALE ÜNİVERSİTESİ,Denizli,102.2584238,116.5269589,121.484231,109.8746941,55.75674676,53.28943546,47.8352679,92.84395875,699.8697167
48,YEDİTEPE ÜNİVERSİTESİ,İstanbul,103.9571027,108.4415843,110.1311501,121.2030317,35.61127942,65.03648149,43.83293815,104.9216173,693.1351852
49,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,Manisa,110.2147017,123.1067857,117.034951,83.62744999,49.88572535,63.1951797,47.45859914,89.64616358,684.1695562
50,SİVAS CUMHURİYET ÜNİVERSİTESİ,Sivas,112.3663467,121.28975,116.8604267,88.29644126,49.77561043,64.90991045,45.31859266,84.75052253,683.5676008
51,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,Rize,107.137748,117.6341802,115.9174843,65.02835346,65.94343673,58.89773612,49.60962213,100.5355449,680.7041059
52,NECMETTİN ERBAKAN ÜNİVERSİTESİ,Konya,113.0451827,122.0219676,122.1070968,114.6962597,49.58931901,48.86397502,50.54072957,57.44852692,678.3130574
53,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,Muğla,107.2958192,108.973201,115.9497891,90.77953771,47.79101911,63.45962966,46.25349321,95.9827795,676.4852684
54,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,Aydın,96.72255898,104.4508097,114.0756072,92.49488037,50.24736633,64.8096621,44.43339002,103.3850786,670.6193533
55,BAŞKENT ÜNİVERSİTESİ,Ankara,111.427571,112.5500124,131.7687872,101.0623484,75.53414017,63.75930111,52.70026908,19.46516247,668.2675918
56,HARRAN ÜNİVERSİTESİ,Şanlıurfa,104.875624,122.2184921,113.57518,79.23146699,55.86142958,62.31724638,46.42780702,75.81129446,660.3185406
57,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,Niğde,100.5563046,113.5880993,102.9967746,89.09826265,54.91761975,62.12537957,40.39187638,95.56139519,659.2357121
58,ÖZYEĞİN ÜNİVERSİTESİ,İstanbul,105.4147874,115.1897086,127.883438,60.59388943,30.04580461,74.09558143,32.84605619,108.4882871,654.5575527
59,BİNGÖL ÜNİVERSİTESİ,Bingöl,100.729668,123.9696006,118.2566162,72.43447493,62.41443331,57.94021322,47.07955267,71.12836418,653.9529232
60,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,Çanakkale,98.25286713,104.6215187,104.5650534,91.74849586,55.32798645,55.74523893,38.92289668,101.8339476,651.0180048
61,ATILIM ÜNİVERSİTESİ,Ankara,104.9229994,121.248128,110.6573243,70.06022297,42.63430338,71.1817575,40.45851647,88.67300567,649.8362577
62,BAHÇEŞEHİR ÜNİVERSİTESİ,İstanbul,112.9082514,124.5584475,126.5830948,68.27589515,6.426985769,72.31761184,47.3552564,81.53275669,639.9582995
63,DÜZCE ÜNİVERSİTESİ,Düzce,109.5812177,125.843289,119.1033855,80.58472987,45.39917846,63.72096787,47.71078114,47.15328827,639.0968378
64,KARABÜK ÜNİVERSİTESİ,Karabük,104.7684109,119.1928454,108.1207497,97.73273529,25.31252035,58.62473223,43.03537973,80.25784221,637.0452158
65,KIRIKKALE ÜNİVERSİTESİ,Kırıkkale,100.0790007,116.862682,112.6588803,95.36342632,44.62619822,54.98874782,47.6803705,60.0382701,632.297576
66,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Eskişehir,112.5479792,86.62677477,92.22222021,110.0525258,53.59566621,54.02629742,36.49911841,86.36102339,631.9316054
67,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,Kahramanmaraş,95.37460106,98.33039586,110.7196916,96.6239881,56.73556107,43.9476523,46.88930923,82.91621724,631.5374164
68,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,Tekirdağ,98.45347538,107.2850995,110.2991657,68.18402243,56.51961877,49.75068502,46.96334764,86.00401482,623.4594293
69,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Adana,104.1721174,112.6685224,100.9931527,53.68760922,61.32771235,53.33634785,44.17759393,89.49442397,619.8574798
70,KONYA TEKNİK ÜNİVERSİTESİ,Konya,107.2896842,94.69471027,88.61414404,114.4304444,58.01153669,42.81202266,35.42058234,74.99174922,616.2648738
71,TRAKYA ÜNİVERSİTESİ,Trakya,99.29786521,106.7989498,110.3214963,101.542414,45.63517972,51.63091379,41.17792637,58.84671837,615.2514636
72,ORDU ÜNİVERSİTESİ,Ordu,97.88263389,108.9102475,107.4778933,68.63711802,60.55731574,50.7762997,46.69822838,73.87790194,614.8176385
73,AFYON KOCATEPE ÜNİVERSİTESİ,Afyon,96.02855337,107.8849785,108.8980034,83.70903503,44.04692447,49.22315719,45.6056862,79.31732094,614.7136591
74,BURSA TEKNİK ÜNİVERSİTESİ,Bursa,102.9598472,120.4558339,103.3594392,56.26575896,34.53125675,57.17329192,42.85537977,89.9894804,607.5902881
75,KADİR HAS ÜNİVERSİTESİ,İstanbul,97.56668343,101.0952419,99.70065055,78.63077766,33.99669993,60.83604456,30.14319414,104.777593,606.7468852
76,HİTİT ÜNİVERSİTESİ,Çorum,96.52146041,116.8039574,116.0559063,71.34002529,63.65021182,56.127925,54.04114846,31.5109141,606.0515488
77,AKSARAY ÜNİVERSİTESİ,Aksaray,99.73289127,116.5457642,103.6378005,52.97058092,54.65695633,55.12642693,42.99909636,76.43191789,602.1014344
78,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,Karaman,100.410262,116.3139654,104.8433153,36.85564739,58.51751278,57.12566926,36.73302271,90.77907788,601.5784727
79,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,Tokat,83.51843611,118.1608122,113.0044589,78.73231881,56.5608663,51.07342093,43.29569244,55.9260706,600.2720763
80,DİCLE ÜNİVERSİTESİ,Diyarbakır,90.60365575,101.5183895,109.3599333,104.7690397,51.69662992,49.48775185,47.74739797,40.17683235,595.3596303
81,İSKENDERUN TEKNİK ÜNİVERSİTESİ,İskenderun,100.1991244,130.726365,101.2200466,55.29739181,39.53088839,54.08095378,42.88947068,65.23666055,589.1809012
82,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,Hatay,89.6114886,100.9549161,104.9405145,67.18448973,54.06138812,48.73699523,43.93500381,77.87846689,587.303263
83,ADIYAMAN ÜNİVERSİTESİ,Adıyaman,100.3470728,112.5408478,124.1641011,21.61657781,62.27083029,61.47120913,48.39208234,56.11696137,586.9196826
84,BARTIN ÜNİVERSİTESİ,Bartın,107.5618519,119.3336957,105.1558141,29.9133324,45.24400977,59.54649156,43.9315121,76.14963469,586.8363423
