rank,name,total,kapasite_40,kalite_40,isbirligi_20
1,Orta Doğu Teknik Üniversitesi,,,,
2,Boğaziçi Üniversitesi,,,,
3,İzmir Yüksek Teknoloji Enstitüsü,,,,
4,İstanbul Teknik Üniversitesi,,,,
5,Hacettepe Üniversitesi,,,,
